"","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENS_DESCRIPTION","ymd","month","wday","LONGTITUDE","LATITUDE","LOCATION_ADDRESS","CITY","STATE"
"15232","2016-133483",53,"THEFT OF PROPERTY MISD",2016-11-27,11,"Sunday",-92.3020418,34.7467375,"510 COATES ST","Little Rock"," Arkansas"
"15233","2016-060106",52,"THEFT OF PROPERTY MISD",2016-05-27,5,"Friday",-92.2828082,34.7276872,"809 W 22ND ST","Little Rock"," Arkansas"
"15234","2016-124340",63,"THEFT OF PROPERTY MISD",2016-11-02,11,"Wednesday",-92.3750954,34.7549613,"9 BROOKRIDGE CV","Little Rock"," Arkansas"
"15235","2016-022536",52,"THEFT OF PROPERTY MISD",2015-11-01,11,"Sunday",-92.294916,34.730672,"1921 S SUMMIT ST","Little Rock"," Arkansas"
"15236","2016-060085",93,"THEFT OF PROPERTY MISD",2016-05-10,5,"Tuesday",-92.4319122,34.6567459,"13901 QUAIL RUN DR","Little Rock"," Arkansas"
"15237","2016-099125",53,"THEFT OF PROPERTY MISD",2016-09-01,9,"Thursday",-92.307355,34.7337788,"1822 BOOKER ST","Little Rock"," Arkansas"
"15238","2016-139376",62,"THEFT OF PROPERTY MISD",2016-12-13,12,"Tuesday",-92.3432867,34.7168478,"6201 COLONEL GLENN RD","Little Rock"," Arkansas"
"15239","2016-011779",90,"THEFT OF PROPERTY MISD",2016-01-31,1,"Sunday",-92.4057812,34.6713839,"11400 BASELINE RD","Little Rock"," Arkansas"
"15240","2016-138075",93,"THEFT OF PROPERTY MISD",2016-12-05,12,"Monday",-92.4259812,34.6579278,"10300 STAGECOACH RD","Little Rock"," Arkansas"
"15241","2016-140330",64,"THEFT OF PROPERTY MISD",2016-12-06,12,"Tuesday",-92.3863374,34.7421228,"10001 KANIS RD","Little Rock"," Arkansas"
"15242","2016-057189",54,"THEFT OF PROPERTY MISD",2016-03-25,3,"Friday",-92.3212218,34.7242897,"4203 ASHER AVE","Little Rock"," Arkansas"
"15243","2016-128916",64,"THEFT OF PROPERTY MISD",2016-11-15,11,"Tuesday",-92.4021928,34.7554888,"11400 W MARKHAM ST","Little Rock"," Arkansas"
"15244","2016-105957",62,"THEFT OF PROPERTY MISD",2016-09-19,9,"Monday",-92.3544199,34.7174608,"7100 COLONEL GLENN RD","Little Rock"," Arkansas"
"15245","2016-016780",54,"THEFT OF PROPERTY MISD",2014-02-01,2,"Saturday",-92.3251088,34.7227832,"4521 ASHER","Little Rock"," Arkansas"
"15246","2016-046633",52,"THEFT OF PROPERTY MISD",2016-04-27,4,"Wednesday",-92.2998624,34.7295657,"2100 DENNISON ST","Little Rock"," Arkansas"
"15247","2016-100395",53,"THEFT OF PROPERTY MISD",2016-09-06,9,"Tuesday",-92.2962735,34.7490085,"217 S PARK ST","Little Rock"," Arkansas"
"15248","2016-042434",64,"THEFT OF PROPERTY MISD",2016-04-18,4,"Monday",-92.39946,34.7307048,"2616 S SHACKLEFORD RD","Little Rock"," Arkansas"
"15249","2016-130534",51,"THEFT OF PROPERTY MISD",2016-11-19,11,"Saturday",-92.2934516,34.7409752,"1010 WOLFE ST","Little Rock"," Arkansas"
"15250","2016-109490",80,"THEFT OF PROPERTY MISD",2016-09-27,9,"Tuesday",-92.3420182,34.7026806,"5201 GEYER SPRINGS RD","Little Rock"," Arkansas"
"15251","2016-107036",93,"THEFT OF PROPERTY MISD",2016-09-22,9,"Thursday",-92.4228978,34.6812149,"2 CRYSTALWOOD DR","Little Rock"," Arkansas"
"15252","2016-007528",91,"THEFT OF PROPERTY MISD",2012-07-26,7,"Thursday",-92.3838663,34.6637898,"3 RICHSMITH CIR","Little Rock"," Arkansas"
"15253","2016-114262",61,"THEFT OF PROPERTY MISD",2016-10-10,10,"Monday",-92.3616173,34.7479452,"801 S RODNEY PARHAM RD","Little Rock"," Arkansas"
"15254","2016-102264",52,"THEFT OF PROPERTY MISD",2016-05-27,5,"Friday",-92.2839891,34.725759,"2400 S IZARD ST","Little Rock"," Arkansas"
"15255","2016-123333",70,"THEFT OF PROPERTY MISD",2016-10-27,10,"Thursday",-92.4171465,34.792739,"4120 SAM PECK RD","Little Rock"," Arkansas"
"15256","2016-107502",52,"THEFT OF PROPERTY MISD",2016-09-16,9,"Friday",-92.2801408,34.733944,"1601 S GAINES ST","Little Rock"," Arkansas"
"15257","2016-073170",54,"THEFT OF PROPERTY MISD",2016-07-01,7,"Friday",-92.3213534,34.7249908,"4210 ASHER AVE","Little Rock"," Arkansas"
"15258","2016-104119",82,"THEFT OF PROPERTY MISD",2016-09-14,9,"Wednesday",-92.314516,34.6664109,"9101 AUXOR RD","Little Rock"," Arkansas"
"15259","2016-117415",70,"THEFT OF PROPERTY MISD",2016-10-17,10,"Monday",-92.4030512,34.7713036,"2001 GREEN MOUNTAIN DR","Little Rock"," Arkansas"
"15260","2016-121790",63,"THEFT OF PROPERTY MISD",2016-10-28,10,"Friday",-92.3774092,34.785972,"7 KINGSTON DR","Little Rock"," Arkansas"
"15261","2016-121308",50,"THEFT OF PROPERTY MISD",2016-10-26,10,"Wednesday",-92.3203185,34.7519096,"4224 W MARKHAM ST","Little Rock"," Arkansas"
"15262","2016-138813",64,"THEFT OF PROPERTY MISD",2016-12-11,12,"Sunday",-92.377786,34.74111,"9201 KANIS RD","Little Rock"," Arkansas"
"15263","2016-120033",42,"THEFT OF PROPERTY MISD",2016-09-24,9,"Saturday",-92.2427859,34.7359503,"1114 APPERSON ST","Little Rock"," Arkansas"
"15264","2016-141195",62,"THEFT OF PROPERTY MISD",2016-12-17,12,"Saturday",-92.354817,34.7175108,"7104 COLONEL GLENN RD","Little Rock"," Arkansas"
"15265","2016-139630",54,"THEFT OF PROPERTY MISD",2016-12-11,12,"Sunday",-92.326303,34.7429129,"920 JEFFERSON ST","Little Rock"," Arkansas"
"15266","2016-079093",51,"THEFT OF PROPERTY MISD",2016-07-15,7,"Friday",-92.3014617,34.7402974,"1114 THAYER ST","Little Rock"," Arkansas"
"15267","2016-120892",93,"THEFT OF PROPERTY MISD",2016-10-26,10,"Wednesday",-92.4272021,34.6576168,"10320 STAGECOACH RD","Little Rock"," Arkansas"
"15268","2016-109449",64,"THEFT OF PROPERTY MISD",2016-09-28,9,"Wednesday",-92.3731276,34.7372776,"1720 JOHN BARROW RD","Little Rock"," Arkansas"
"15269","2016-003640",43,"THEFT OF PROPERTY MISD",2016-01-09,1,"Saturday",-92.2505202,34.7070858,"11 DETROIT ST","Little Rock"," Arkansas"
"15270","2016-144518",93,"THEFT OF PROPERTY MISD",2016-12-24,12,"Saturday",-92.4289164,34.6532975,"10900 STAGECOACH RD","Little Rock"," Arkansas"
"15271","2016-131060",63,"THEFT OF PROPERTY MISD",2016-11-09,11,"Wednesday",-92.3703527,34.7607477,"9 ARROW RIDGE CT","Little Rock"," Arkansas"
"15272","2016-142377",50,"THEFT OF PROPERTY MISD",2016-12-12,12,"Monday",-92.3311182,34.7535643,"5111 B ST","Little Rock"," Arkansas"
"15273","2016-136657",41,"THEFT OF PROPERTY MISD",2016-12-06,12,"Tuesday",-92.2733882,34.7293957,"2001 MAIN ST","Little Rock"," Arkansas"
"15274","2016-142614",64,"THEFT OF PROPERTY MISD",2016-12-08,12,"Thursday",-92.3885646,34.7420421,"10201 KANIS RD","Little Rock"," Arkansas"
"15275","2016-133507",62,"THEFT OF PROPERTY MISD",2016-11-28,11,"Monday",-92.343854,34.7187777,"6200 COLONEL GLENN RD","Little Rock"," Arkansas"
