LATITUDE,LONGITUDE,DATE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp
34.7273,-92.2389,1/8/15 10:53,,,,,
34.7273,-92.2389,1/8/15 11:53,,,,,
34.7273,-92.2389,1/8/15 12:53,,,,,
34.7273,-92.2389,1/8/15 13:53,,,,,
34.7273,-92.2389,1/8/15 14:53,,,,,
34.7273,-92.2389,1/8/15 15:53,,,,,
34.7273,-92.2389,1/8/15 16:53,,,,,
34.7273,-92.2389,1/8/15 17:53,,,,,
34.7273,-92.2389,1/8/15 18:53,,,,,
34.7273,-92.2389,1/8/15 19:53,,,,,
34.7273,-92.2389,1/8/15 20:53,,,,,
34.7273,-92.2389,1/8/15 21:53,,,,,
34.7273,-92.2389,1/8/15 22:53,,,,,
34.7273,-92.2389,1/8/15 23:53,34,10,,,
34.7273,-92.2389,1/8/15 23:59,34,10,,,
34.7273,-92.2389,1/9/15 0:53,,,,,
34.7273,-92.2389,1/9/15 1:53,,,,,
34.7273,-92.2389,1/9/15 2:53,,,,,
34.7273,-92.2389,1/9/15 3:53,,,,,
34.7273,-92.2389,1/9/15 4:53,,,,,
34.7273,-92.2389,1/9/15 5:53,,,,,
34.7273,-92.2389,1/9/15 6:53,,,,,
34.7273,-92.2389,1/9/15 7:53,,,,,
34.7273,-92.2389,1/9/15 8:53,,,,,
34.7273,-92.2389,1/9/15 9:53,,,,,
34.7273,-92.2389,1/9/15 10:53,,,,,
34.7273,-92.2389,1/9/15 11:53,,,,,
34.7273,-92.2389,1/9/15 12:53,,,,,
34.7273,-92.2389,1/9/15 13:53,,,,,
34.7273,-92.2389,1/9/15 14:53,,,,,
34.7273,-92.2389,1/9/15 15:53,,,,,
34.7273,-92.2389,1/9/15 16:53,,,,,
34.7273,-92.2389,1/9/15 17:53,,,,,
34.7273,-92.2389,1/9/15 18:53,,,,,
34.7273,-92.2389,1/9/15 19:53,,,,,
34.7273,-92.2389,1/9/15 20:53,,,,,
34.7273,-92.2389,1/9/15 21:53,,,,,
34.7273,-92.2389,1/9/15 22:53,,,,,
34.7273,-92.2389,1/9/15 23:53,40,22,,,
34.7273,-92.2389,1/9/15 23:59,40,22,,,
34.7273,-92.2389,1/10/15 0:53,,,,,
34.7273,-92.2389,1/10/15 1:53,,,,,
34.7273,-92.2389,1/10/15 2:53,,,,,
34.7273,-92.2389,1/10/15 3:53,,,,,
34.7273,-92.2389,1/10/15 4:53,,,,,
34.7273,-92.2389,1/10/15 5:53,,,,,
34.7273,-92.2389,1/10/15 6:53,,,,,
34.7273,-92.2389,1/10/15 7:53,,,,,
34.7273,-92.2389,1/10/15 8:53,,,,,
34.7273,-92.2389,1/10/15 9:53,,,,,
34.7273,-92.2389,1/10/15 10:53,,,,,
34.7273,-92.2389,1/10/15 11:53,,,,,
34.7273,-92.2389,1/10/15 12:53,,,,,
34.7273,-92.2389,1/10/15 13:53,,,,,
34.7273,-92.2389,1/10/15 14:53,,,,,
34.7273,-92.2389,1/10/15 15:53,,,,,
34.7273,-92.2389,1/10/15 16:53,,,,,
34.7273,-92.2389,1/10/15 17:53,,,,,
34.7273,-92.2389,1/10/15 18:53,,,,,
34.7273,-92.2389,1/10/15 19:53,,,,,
34.7273,-92.2389,1/10/15 20:53,,,,,
34.7273,-92.2389,1/10/15 21:53,,,,,
34.7273,-92.2389,1/10/15 22:53,,,,,
34.7273,-92.2389,1/10/15 23:53,35,19,,,
34.7273,-92.2389,1/10/15 23:59,35,19,,,
34.7273,-92.2389,1/11/15 0:53,,,,,
34.7273,-92.2389,1/11/15 0:57,,,,,
34.7273,-92.2389,1/11/15 1:53,,,,,
34.7273,-92.2389,1/11/15 2:14,,,,,
34.7273,-92.2389,1/11/15 2:53,,,,,
34.7273,-92.2389,1/11/15 3:53,,,,,
34.7273,-92.2389,1/11/15 4:53,,,,,
34.7273,-92.2389,1/11/15 5:53,,,,,
34.7273,-92.2389,1/11/15 5:58,,,,,
34.7273,-92.2389,1/11/15 6:05,,,,,
34.7273,-92.2389,1/11/15 6:14,,,,,
34.7273,-92.2389,1/11/15 6:22,,,,,
34.7273,-92.2389,1/11/15 6:37,,,,,
34.7273,-92.2389,1/11/15 6:53,,,,,
34.7273,-92.2389,1/11/15 7:01,,,,,
34.7273,-92.2389,1/11/15 7:09,,,,,
34.7273,-92.2389,1/11/15 7:43,,,,,
