Incident Number,District,Offense Description,Incident Address,Incident Date
2015-086120,93,Breaking or Entering Vehicle,"1908 STAGECOACH VILLAGE CT
Little Rock, Arkansas",7/30/15
2015-088450,92,Breaking or Entering Vehicle,"13624 VIMY RIDGE RD
Little Rock, Arkansas",8/4/15
2015-090757,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",8/10/15
2015-091681,50,Breaking or Entering Vehicle,"7 W MARKHAM ST
Little Rock, Arkansas",8/11/15
2015-093456,72,Breaking or Entering Vehicle,"6400 THE DIVIDE
Little Rock, Arkansas",8/16/15
2015-096304,91,Breaking or Entering Vehicle,"12611 CHICOT RD
Little Rock, Arkansas",8/23/15
2015-098645,62,Breaking or Entering Vehicle,"1400 BRAGG ST
Little Rock, Arkansas",8/25/15
2015-097205,60,Breaking or Entering Vehicle,"0 PINE VALLEY RD
Little Rock, Arkansas",8/25/15
2015-105212,93,Breaking or Entering Vehicle,"10402 MABELVALE
Little Rock, Arkansas",9/13/15
2015-105783,71,Breaking or Entering Vehicle,"17 WEATHERSTONE PT
Little Rock, Arkansas",9/14/15
2015-106372,64,Breaking or Entering Vehicle,"10920 FINANCIAL CENTRE
Little Rock, Arkansas",9/15/15
2015-108552,70,Breaking or Entering Vehicle,"11716 PLEASANT RIDGE
Little Rock, Arkansas",9/21/15
2015-114522,54,Breaking or Entering Vehicle,"2500 FAIR PARK
Little Rock, Arkansas",10/2/15
2015-117476,42,Breaking or Entering Vehicle,"8900 FOURCHE DAM
Little Rock, Arkansas",10/12/15
2015-117159,64,Breaking or Entering Vehicle,"43 CHAUTAUS DR
Little Rock, Arkansas",10/12/15
2015-119661,43,Breaking or Entering Vehicle,"105 LEGACY
Little Rock, Arkansas",10/17/15
2015-120081,40,Breaking or Entering Vehicle,"200 FERRY ST
Little Rock, Arkansas",10/18/15
2015-124149,93,Breaking or Entering Vehicle,"25 SOUTHERN HILLS
Little Rock, Arkansas",10/29/15
2015-125430,51,Breaking or Entering Vehicle,"301 E PRESIDENT CLINTON
Little Rock, Arkansas",11/1/15
2015-125726,93,Breaking or Entering Vehicle,"15 SOUTHERN HILLS
Little Rock, Arkansas",11/2/15
2015-125718,93,Breaking or Entering Vehicle,"15 SOUTHERN HILLS
Little Rock, Arkansas",11/2/15
2015-126978,92,Breaking or Entering Vehicle,"10405 ALEXANDER RD
Little Rock, Arkansas",11/5/15
2015-126963,92,Breaking or Entering Vehicle,"10403 ALEXANDER RD
Little Rock, Arkansas",11/5/15
2015-128834,50,Breaking or Entering Vehicle,"3615 OLD CANTRELL RD
Little Rock, Arkansas",11/9/15
2015-130113,70,Breaking or Entering Vehicle,"3100 MABELVALE
Little Rock, Arkansas",11/13/15
2015-133987,91,Breaking or Entering Vehicle,"8017 E LEGION RD
Little Rock, Arkansas",11/23/15
2015-135663,54,Breaking or Entering Vehicle,"2500 FAIR PARK
Little Rock, Arkansas",11/25/15
2015-141732,64,Breaking or Entering Vehicle,"11500 FINANCIAL CENTRE
Little Rock, Arkansas",12/13/15
2015-144957,70,Breaking or Entering Vehicle,"1 TWO RIVERS PARK BRIDGE DR
Little Rock, Arkansas",12/21/15
2014-002343,71,Breaking or Entering Vehicle,"3421 OVER CREEK PASS DR
Little Rock, Arkansas",01/05/2014-01/03/2014
2014-002323,60,Breaking or Entering Vehicle,"15 S NOTTINGHAM ST
Little Rock, Arkansas",01/06/2014-01/07/2014
2014-002306,91,Breaking or Entering Vehicle,"8510 KENNESAW MOUNTAIN DR
Little Rock, Arkansas",01/06/2014-01/07/2014
2014-004901,71,Breaking or Entering Vehicle,"11 POINT WEST
Little Rock, Arkansas",01/13/2014-01/14/2014
2014-004860,64,Breaking or Entering Vehicle,"9620 MONIQUE DR
Little Rock, Arkansas",01/13/2014-01/14/2014
2015-005342,40,Breaking or Entering Vehicle,"1100 MCGOWAN ST
Little Rock, Arkansas",01/14/2015-01/15/2015
2015-008269,60,Breaking or Entering Vehicle,"200 BITTERSWEET DR
Little Rock, Arkansas",01/21/2015-01/22/2015
2015-008566,91,Breaking or Entering Vehicle,"8213 FAIRWOOD RD
Little Rock, Arkansas",01/22/2015-01/23/2015
2015-008564,91,Breaking or Entering Vehicle,"10923 MARKS MILL CT
Little Rock, Arkansas",01/22/2015-01/23/2015
2014-012547,90,Breaking or Entering Vehicle,"401 COLONEL GLENN PLAZA
Little Rock, Arkansas",01/31/2014-02/03/2014
2015-012487,93,Breaking or Entering Vehicle,"1 WIMBLEDON GREEN
Little Rock, Arkansas",02/01/2015-02/02/2015
2014-012529,52,Breaking or Entering Vehicle,"3324 S ARCH ST
Little Rock, Arkansas",02/02/2014-02/03/2014
2015-012926,72,Breaking or Entering Vehicle,"111 VALLEY RANCH
Little Rock, Arkansas",02/02/2015-02/03/2015
2014-015737,60,Breaking or Entering Vehicle,"1 BROADVIEW TERRACE DR
Little Rock, Arkansas",02/11/2014-02/12/2014
2014-019180,72,Breaking or Entering Vehicle,"6412 THE DIVIDE
Little Rock, Arkansas",02/20/2014-02/21/2014
2015-020254,71,Breaking or Entering Vehicle,"15505 CAPITOL HILL
Little Rock, Arkansas",02/22/2015-02/23/2015
2015-022777,71,Breaking or Entering Vehicle,"13500 W CHENAL PARKWAY ST
Little Rock, Arkansas",03/01/2015-03/02/2015
2014-028877,72,Breaking or Entering Vehicle,"302 GARDEN VALLEY
Little Rock, Arkansas",03/05/2014-03/06/2014
2014-025984,54,Breaking or Entering Vehicle,"2118 FAIR PARK
Little Rock, Arkansas",03/10/2014-03/11/2014
2014-026464,91,Breaking or Entering Vehicle,"11019 MARKS MILL CT
Little Rock, Arkansas",03/11/2014-03/12/2014
2015-027844,92,Breaking or Entering Vehicle,"11205 OTTER CREEK SOUTH RD
Little Rock, Arkansas",03/13/2015-03/16/2015
2014-029243,71,Breaking or Entering Vehicle,"5398 INTERSTATE 630
Little Rock, Arkansas",03/14/2014-03/16/2014
2014-035832,64,Breaking or Entering Vehicle,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",03/31/2014-04/01/2014
2014-035275,64,Breaking or Entering Vehicle,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",04/01/2014-04/02/2014
2014-038467,50,Breaking or Entering Vehicle,"3802 CRESTWOOD DR
Little Rock, Arkansas",04/10/2014-04/11/2014
2014-040810,91,Breaking or Entering Vehicle,"8300 SPANN RD
Little Rock, Arkansas",04/15/2014-04/16/2014
2015-043625,71,Breaking or Entering Vehicle,"15509 CAPITOL HILL
Little Rock, Arkansas",04/22/2015-04/23/2015
2015-044129,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",04/23/2015-04/24/2015
2014-045420,64,Breaking or Entering Vehicle,"11500 FINANCIAL CENTRE
Little Rock, Arkansas",04/26/2014-04/27/2014
2014-046922,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",04/30/2014-05/01/2014
2015-053798,50,Breaking or Entering Vehicle,"501 COFFER LN
Little Rock, Arkansas",05/09/2015-05/10/2015
2014-052010,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",05/12/2014-05/13/2014
2015-052657,64,Breaking or Entering Vehicle,"10825 COL. GLENN RD
Little Rock, Arkansas",05/13/2015-05/14/2015
2014-054831,64,Breaking or Entering Vehicle,"10920 FINANCIAL CENTRE
Little Rock, Arkansas",05/19/2014-05/20/2014
2014-056231,71,Breaking or Entering Vehicle,"13000 CHENAL PW
Little Rock, Arkansas",05/20/2014-05/21/2014
2014-057949,60,Breaking or Entering Vehicle,"1201 N BRYAN ST
Little Rock, Arkansas",05/26/2014-05/27/2014
2014-058822,90,Breaking or Entering Vehicle,"11 WHISPERING OAK DR
Little Rock, Arkansas",05/28/2014-05/29/2014
2015-062089,90,Breaking or Entering Vehicle,"13600 OTTER CREEK
Little Rock, Arkansas",06/03/2015-06/04/2015
2015-075445,64,Breaking or Entering Vehicle,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",06/05/2015-06/06/2015
2014-063433,54,Breaking or Entering Vehicle,"3401 FAIR PARK
Little Rock, Arkansas",06/07/2014-06/08/2014
2014-063371,71,Breaking or Entering Vehicle,"15503 CAPITOL HILL
Little Rock, Arkansas",06/07/2014-06/08/2014
2014-063364,71,Breaking or Entering Vehicle,"15503 CAPITOL HILL
Little Rock, Arkansas",06/07/2014-06/08/2014
2015-063529,54,Breaking or Entering Vehicle,"1516 FAIR PARK
Little Rock, Arkansas",06/08/2015-06/09/2015
2015-064586,92,Breaking or Entering Vehicle,"34 PONDS EDGE LN
Little Rock, Arkansas",06/10/2015-06/11/2015
2015-065340,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",06/12/2013-06/13/2015
2015-065326,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",06/12/2015-06/13/2015
2015-065333,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",06/12/2015-06/13/2016
2015-068368,54,Breaking or Entering Vehicle,"1901 FAIR PARK
Little Rock, Arkansas",06/19/2015-06/20/2015
2014-072498,93,Breaking or Entering Vehicle,"12 WIMBLEDON GREEN
Little Rock, Arkansas",06/21/2014-06/28/2014
2015-070006,71,Breaking or Entering Vehicle,"15507 CAPITOL HILL
Little Rock, Arkansas",06/23/2015-06/24/2015
2015-069983,71,Breaking or Entering Vehicle,"15501 CAPITOL HILL
Little Rock, Arkansas",06/23/2015-06/24/2015
2014-073344,71,Breaking or Entering Vehicle,"20 MARKHAM PLACE
Little Rock, Arkansas",06/30/2014-07/01/2014
2014-074401,92,Breaking or Entering Vehicle,"11710 VIMY RIDGE RD
Little Rock, Arkansas",07/02/2014-07/03/2014
2014-074304,63,Breaking or Entering Vehicle,"6 RIVER RIDGE
Little Rock, Arkansas",07/02/2014-07/03/2014
2014-077771,71,Breaking or Entering Vehicle,"24 TAYLOR PARK
Little Rock, Arkansas",07/10/2014-07/11/2014
2014-077762,71,Breaking or Entering Vehicle,"22 TAYLOR PARK
Little Rock, Arkansas",07/10/2014-07/11/2014
2015-078538,52,Breaking or Entering Vehicle,"2619 S WOLFE
Little Rock, Arkansas",07/12/2015-07/13/2015
2015-079052,50,Breaking or Entering Vehicle,"22 BLUE RIDGE
Little Rock, Arkansas",07/13/2015-07/14/2015
2014-082385,42,Breaking or Entering Vehicle,"8601 FOURCHE DAM
Little Rock, Arkansas",07/14/2014-07/21/2014
2015-080352,92,Breaking or Entering Vehicle,"12800 VIMY RD
Little Rock, Arkansas",07/15/2015-07/16/2015
2014-087857,71,Breaking or Entering Vehicle,"612 TRUMPLER ST
Little Rock, Arkansas",07/25/2014-07/26/2014
2015-087744,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",07/31/2015-08/02/2015
2015-089183,64,Breaking or Entering Vehicle,"10920 FINANCIAL CENTRE
Little Rock, Arkansas",08/05/2015-08/06/2015
2014-090228,71,Breaking or Entering Vehicle,"21 MARKHAM PLACE
Little Rock, Arkansas",08/07/2014-08/08/2014
2014-091962,63,Breaking or Entering Vehicle,"6500 FATHER ST
Little Rock, Arkansas",08/12/2014-08/13/2014
2014-095179,71,Breaking or Entering Vehicle,"15511 CAPITOL HILL
Little Rock, Arkansas",08/19/2014-08/20/2014
2014-095125,71,Breaking or Entering Vehicle,"15503 CAPITOL HILL
Little Rock, Arkansas",08/19/2014-08/20/2014
2014-095124,71,Breaking or Entering Vehicle,"15507 CAPITOL HILL
Little Rock, Arkansas",08/19/2014-08/20/2014
2014-095117,71,Breaking or Entering Vehicle,"15507 CAPITOL HILL
Little Rock, Arkansas",08/19/2014-08/20/2014
2015-095247,93,Breaking or Entering Vehicle,"16512 OTTER CREEK
Little Rock, Arkansas",08/20/2015-08/21/2015
2014-098032,91,Breaking or Entering Vehicle,"8905 MABELVALE CUT-OFF
Little Rock, Arkansas",08/26/2014-08/27/2014
2015-098862,54,Breaking or Entering Vehicle,"1300 FAIR PARK
Little Rock, Arkansas",08/28/2015-08/29/2015
2014-100561,91,Breaking or Entering Vehicle,"9808 MABELVALE MAIN ST
Little Rock, Arkansas",08/30/2014-09/02/2014
2015-100154,90,Breaking or Entering Vehicle,"5812 TALL PINE
Little Rock, Arkansas",08/31/2015-09/01/2015
2015-100029,90,Breaking or Entering Vehicle,"11 JAVA CT
Little Rock, Arkansas",08/31/2015-09/01/2015
2015-100463,71,Breaking or Entering Vehicle,"510 GREEN MOUNTAIN
Little Rock, Arkansas",09/01/2015-09/02/2015
2015-102889,71,Breaking or Entering Vehicle,"15509 CAPITOL HILL
Little Rock, Arkansas",09/07/2015-09/08/2015
2014-104135,92,Breaking or Entering Vehicle,"11 LEPRECHAUN LN
Little Rock, Arkansas",09/09/2014-09/10/2014
2014-105063,72,Breaking or Entering Vehicle,"24 ORLE
Little Rock, Arkansas",09/11/2014-09/12/2014
2015-105797,71,Breaking or Entering Vehicle,"504 GREEN MOUNTAIN
Little Rock, Arkansas",09/13/2015-09/14/2015
2015-106157,81,Breaking or Entering Vehicle,"300 KEITHLEY DR
Little Rock, Arkansas",09/14/2015-09/15/2015
2015-108564,70,Breaking or Entering Vehicle,"11716 PLEASANT RIDGE
Little Rock, Arkansas",09/20/2015-09/21/2015
2015-108563,70,Breaking or Entering Vehicle,"11716 PLEASANT RIDGE
Little Rock, Arkansas",09/20/2015-09/21/2015
2015-108553,70,Breaking or Entering Vehicle,"11718 PLEASANT RIDGE
Little Rock, Arkansas",09/20/2015-09/21/2015
2015-108548,70,Breaking or Entering Vehicle,"11718 PLEASANT RIDGE
Little Rock, Arkansas",09/20/2015-09/21/2015
2015-108547,70,Breaking or Entering Vehicle,"11720 PLEASANT RIDGE
Little Rock, Arkansas",09/20/2015-09/21/2015
2015-108546,70,Breaking or Entering Vehicle,"11718 PLEASANT RIDGE
Little Rock, Arkansas",09/20/2015-09/21/2015
2015-108540,70,Breaking or Entering Vehicle,"11718 PLEASANT RIDGE
Little Rock, Arkansas",09/20/2015-09/21/2015
2014-110244,72,Breaking or Entering Vehicle,"106 HICKORY CREEK
Little Rock, Arkansas",09/23/2014-09/24/2014
2014-110227,72,Breaking or Entering Vehicle,"114 HICKORY CREEK
Little Rock, Arkansas",09/23/2014-09/24/2014
2015-111197,71,Breaking or Entering Vehicle,"13200 SAM PECK RD
Little Rock, Arkansas",09/25/2015-09/27/2015
2015-112297,40,Breaking or Entering Vehicle,"400 FERRY ST
Little Rock, Arkansas",09/29/2015-09/30/2015
