Incident Number,District,Offense Description,Incident Address,Incident Date
2015-088761,62,Theft of property Misd,"8411 COLONEL GLENN RD
Little Rock, Arkansas
(34.710597, -92.369705)",8/5/15
2015-008644,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",1/23/15
2015-007940,50,Theft of property Felony,"1825 N GRANT ST
Little Rock, Arkansas
(34.76883, -92.33945)",1/21/15
2014-045519,80,Theft of property Misd,"39 SOUTHERN OAKS DR
Little Rock, Arkansas
(34.69468, -92.336435)",04/25/2014-04/27/2014
2015-107841,40,Breaking or Entering Vehicle,"600 E 4TH ST
Little Rock, Arkansas
(34.744301, -92.264549)",9/19/15
2015-092801,50,Breaking or Entering Vehicle,"2400 RIVERFRONT DR
Little Rock, Arkansas
(34.773316, -92.309549)",8/13/15
2015-026037,81,Theft of property Felony,"5910 PALO ALTO DR
Little Rock, Arkansas
(34.657506, -92.343996)",3/11/15
2015-104924,63,Breaking or Entering Vehicle,"26 QUEENSPARK RD
Little Rock, Arkansas
(34.772536, -92.386279)",09/11/2015-09/12/2015
2015-117058,90,Aggravated assault,"6815 FORBING RD
Little Rock, Arkansas
(34.683958, -92.353816)",10/11/15
2014-147996,40,Breaking or Entering Vehicle,"1400 CUMBERLAND ST
Little Rock, Arkansas
(34.734747, -92.270494)",12/24/2014-12/25/2014
2014-052317,71,Breaking or Entering Vehicle,"38 WOODLORE
Little Rock, Arkansas
(34.759663, -92.403301)",05/13/2014-05/14/2014
2015-095876,40,Burglary - Residential,"1620 MAIN ST
Little Rock, Arkansas
(34.732701, -92.273363)",08/20/2015-08/22/2015
2015-068370,60,Aggravated assault,"1700 N HUGHES ST
Little Rock, Arkansas
(34.767595, -92.349502)",6/19/15
2015-025765,53,Aggravated assault on an family or household member,"1801 S CEDAR ST
Little Rock, Arkansas
(34.734942, -92.318149)",3/10/15
2015-085649,53,Theft of property Misd,"1908 S MARTIN ST
Little Rock, Arkansas
(34.733493, -92.311599)",07/27/2015-07/28/2015
2015-084139,71,Breaking or Entering Vehicle,"13605 SADDLE HILL DR
Little Rock, Arkansas
(34.767758, -92.426187)",07/24/2015-07/25/2015
2014-018062,93,Theft of property Misd,"24 AUGUSTA CT
Little Rock, Arkansas
(34.678098, -92.422514)",02/17/2014-02/18/2014
2015-008857,91,Burglary - Residential,"8419 BASELINE RD
Little Rock, Arkansas
(34.66997, -92.37147)",1/23/15
2015-114263,51,Aggravated assault,"900 S BROADWAY ST
Little Rock, Arkansas
(34.740707, -92.276694)",10/5/15
2015-099446,62,Battery 2nd degree,"6201 COLONEL GLENN RD
Little Rock, Arkansas
(34.717701, -92.343749)",8/30/15
2015-051311,82,Theft of property Felony,"7700 SCOTT HAMILTON DR
Little Rock, Arkansas
(34.677695, -92.319539)",5/6/15
2014-050806,63,Theft of property Felony,"1108 SOUTHEDGE DR
Little Rock, Arkansas
(34.762522, -92.379963)",05/08/2013-05/10/2014
2015-126122,51,Theft of property Misd,"700 W MARKHAM ST
Little Rock, Arkansas
(34.74909, -92.277695)",11/3/15
2015-084492,71,Burglary - Residential,"13500 CHENAL
Little Rock, Arkansas
(34.755679, -92.426065)",07/22/2015-07/26/2015
2015-042468,53,Breaking or Entering Vehicle,"2500 W 7TH ST
Little Rock, Arkansas
(34.74528, -92.301252)",04/19/2015-04/20/2015
2015-096684,72,Breaking or Entering Vehicle,"101 BUCKLAND PL
Little Rock, Arkansas
(34.814454, -92.463507)",08/22/2015-08/23/2015
2015-080416,50,Theft of property Misd,"2100 W MARKHAM ST
Little Rock, Arkansas
(34.750595, -92.295628)",7/17/15
2015-106644,91,Aggravated assault,"7601 BASELINE RD
Little Rock, Arkansas
(34.669768, -92.362931)",9/16/15
2015-062009,63,Theft of property Misd,"10901 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771416, -92.395668)",6/5/15
2015-095866,64,Theft of property Misd,"1780 JOHN BARROW RD
Little Rock, Arkansas
(34.737175, -92.372406)",8/23/15
2014-003027,50,Breaking or Entering Vehicle,"518 N VALENTINE ST
Little Rock, Arkansas
(34.756173, -92.312454)",01/08/2014-01/09/2014
2015-127458,63,Theft of property Misd,"11121 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771556, -92.397878)",11/6/15
2014-140465,81,Burglary Commercial,"5424 BASELINE RD
Little Rock, Arkansas
(34.668889, -92.338414)",12/05/2014-12/06/2014
2015-070595,81,Theft of property Misd,"2906 MALLOY ST
Little Rock, Arkansas
(34.726802, -92.375)",6/25/15
2015-043112,91,Aggravated Robbery (Individual),"9404 WOODFORD DR
Little Rock, Arkansas
(34.665813, -92.37203)",4/21/15
2015-106696,50,Theft of property Misd,"5300 SHERWOOD RD
Little Rock, Arkansas
(34.764783, -92.332391)",9/16/15
2014-032565,42,Theft of property Felony,"1 AIRPORT RD
Little Rock, Arkansas
(34.727368, -92.218727)",03/18/2014-03/19/2014
2015-026439,71,Burglary - Residential,"14300 CHENAL
Little Rock, Arkansas
(34.75485, -92.43341)",12/29/2014-03/10/2015
2014-001388,64,Breaking or Entering Vehicle,"9 CLINT CT
Little Rock, Arkansas
(34.750989, -92.375668)",01/03/2014-01/04/2014
2014-010232,82,Breaking or Entering Vehicle,"5701 DREHER LN
Little Rock, Arkansas
(34.675427, -92.340899)",01/27/2014-01/28/2014
2015-063435,70,Burglary - Residential,"11900 PLEASANT RIDGE RD
Little Rock, Arkansas
(34.792943, -92.408229)",6/8/15
2015-114662,62,Aggravated assault,"6200 COLONEL GLENN RD
Little Rock, Arkansas
(34.7177, -92.343676)",10/6/15
2015-016159,80,Theft of property Misd,"4320 S UNIVERSITY AV
Little Rock, Arkansas
(34.713074, -92.343116)",2/11/15
2014-114848,61,Theft of property Felony,"8415 W MARKHAM ST
Little Rock, Arkansas
(34.753158, -92.36817)",10/03/2014-10/04/2014
2015-000200,82,Theft of property Misd,"7525 BASELINE RD
Little Rock, Arkansas
(34.669701, -92.361577)",1/1/15
2015-088561,60,Burglary - Residential,"6120 H ST
Little Rock, Arkansas
(34.759529, -92.341738)",8/3/15
2015-120051,52,Breaking or Entering Vehicle,"1500 S GAINES ST
Little Rock, Arkansas
(34.735198, -92.280248)",10/14/2015-10/15/2015
2015-085760,63,Theft of property Felony,"300 MARKHAM CENTER DR
Little Rock, Arkansas
(34.756039, -92.38975)",7/29/15
2015-111785,64,Theft of property Misd,"9601 LILE
Little Rock, Arkansas
(34.746029, -92.384563)",9/28/15
2015-133227,54,Burglary - Residential,"4502 W 28TH ST
Little Rock, Arkansas
(34.726166, -92.324392)",11/20/15
2015-081052,42,Theft of property Misd,"6702 PECAN LN
Little Rock, Arkansas
(34.718666, -92.194664)",7/18/15
2015-054561,53,Robbery (Individual),"3618 W ROOSEVELT RD
Little Rock, Arkansas
(34.72584, -92.315058)",5/19/15
2015-137632,41,Theft of property Felony,"2601 CENTER ST
Little Rock, Arkansas
(34.723312, -92.276248)",03/02/2015-12/02/2015
2015-021549,53,Burglary - Residential,"1300 BROWN ST
Little Rock, Arkansas
(34.739082, -92.310486)",2/26/15
2015-140525,53,Theft of property Misd,"3124 W ROOSEVELT RD
Little Rock, Arkansas
(34.725628, -92.310531)",12/10/15
2015-043071,91,Theft of property Misd,"8824 GEYER SPRINGS RD
Little Rock, Arkansas
(34.67057, -92.344283)",4/21/15
2014-011081,81,Theft of property Misd,"4524 HOFFMAN RD
Little Rock, Arkansas
(34.697274, -92.326421)",01/29/2014-01/30/2014
2015-046695,50,Breaking or Entering Vehicle,"3400 REBSAMEN PARK RD
Little Rock, Arkansas
(34.777418, -92.314309)",4/30/15
2015-141953,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",12/14/15
2015-027614,82,Burglary - Residential,"5114 LOETSCHER LN
Little Rock, Arkansas
(34.662305, -92.33614)",3/15/15
2015-046726,80,Theft of property Misd,"5201 GEYER SPRINGS RD
Little Rock, Arkansas
(34.702553, -92.342752)",04/29/2015-04/30/2015
2015-107013,91,Burglary - Residential,"7900 BRADLEY DR
Little Rock, Arkansas
(34.660153, -92.366411)",9/10/15
2014-133936,61,Theft of scrap metal,"1624 S CLEVELAND ST
Little Rock, Arkansas
(34.737199, -92.344971)",11/16/2014-11/18/2014
2015-089236,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",8/6/15
2015-103577,93,Theft of property Misd,"8815 STAGECOACH RD
Little Rock, Arkansas
(34.672311, -92.417461)",9/9/15
2015-027241,81,Breaking or Entering Vehicle,"5206 KEATS DR
Little Rock, Arkansas
(34.672863, -92.336126)",03/08/2015-03/14/2015
2015-013415,72,Theft of property Misd,"4310 WESLEY DR
Little Rock, Arkansas
(34.79304, -92.442963)",2/4/15
2015-006624,63,Breaking or Entering Vehicle,"1001 BRECKENRIDGE DR
Little Rock, Arkansas
(34.763447, -92.390281)",1/18/15
2015-022741,72,Burglary - Residential,"24800 CHENAL
Little Rock, Arkansas
(34.814917, -92.494292)",3/2/15
2015-045880,62,Burglary - Residential,"3916 WALKER ST
Little Rock, Arkansas
(34.717294, -92.366574)",4/28/15
2015-072151,62,Aggravated assault on an family or household member,"6620 W 30TH ST
Little Rock, Arkansas
(34.725396, -92.349615)",6/29/15
2015-139670,60,Burglary - Residential,"701 SHAMROCK DR
Little Rock, Arkansas
(34.758413, -92.356415)",12/8/15
2015-048196,54,Breaking or Entering Vehicle,"2611 S TAYLOR ST
Little Rock, Arkansas
(34.727412, -92.336217)",05/03/2015-05/04/2015
2015-070213,53,Burglary Commercial,"1823 S CEDAR ST
Little Rock, Arkansas
(34.734284, -92.318187)",06/23/2015-06/24/2015
2015-097496,60,Theft of property Misd,"600 S UNIVERSITY AV
Little Rock, Arkansas
(34.746455, -92.341396)",8/26/15
2015-118158,91,Theft of property Misd,"11 MABELVALE PLAZA LN
Little Rock, Arkansas
(34.66885, -92.380656)",10/14/15
2015-018200,64,Theft of property Misd,"9800 BAPTIST HEALTH DR
Little Rock, Arkansas
(34.745801, -92.38324)",2/16/15
2015-007876,64,Theft of property Felony,"10800 KANIS RD
Little Rock, Arkansas
(34.743086, -92.394894)",12/20/2014-01/19/2015
2015-070830,71,Breaking or Entering Vehicle,"13111 W MARKHAM ST
Little Rock, Arkansas
(34.753439, -92.423627)",06/25/2015-06/26/2015
2015-123558,60,Theft of property Misd,"600 S UNIVERSITY AV
Little Rock, Arkansas
(34.746455, -92.341396)",10/27/15
2015-000184,91,Theft of property Misd,"9520 WILDERNESS RD
Little Rock, Arkansas
(34.663746, -92.371063)",1/1/15
2015-122815,71,Breaking or Entering Vehicle,"1602 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768691, -92.403718)",10/25/15
2015-109314,71,Burglary - Residential,"603 ASBURY RD
Little Rock, Arkansas
(34.750549, -92.426609)",9/22/15
2015-067769,42,Arson,"700 BENDER ST
Little Rock, Arkansas
(34.740943, -92.250205)",6/18/15
2015-137335,64,Theft of property Misd,"2600 S SHACKLEFORD RD
Little Rock, Arkansas
(34.733384, -92.394707)",12/2/15
2015-005756,63,Theft of property Felony,"10524 W MARKHAM ST
Little Rock, Arkansas
(34.753884, -92.390419)",1/13/15
2015-049439,82,Aggravated Robbery (Individual),"3507 COFFER LN
Little Rock, Arkansas
(34.664815, -92.317905)",5/7/15
2015-123046,90,Theft of property Misd,"9811 INTERSTATE 30
Little Rock, Arkansas
(34.672512, -92.373188)",10/16/15
2015-004069,91,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",1/11/15
2014-146779,51,Breaking or Entering Vehicle,"1400 W MARKHAM ST
Little Rock, Arkansas
(34.749912, -92.285836)",12/17/2014-12/22/2014
2015-099126,93,Robbery (Individual),"8822 STAGECOACH RD
Little Rock, Arkansas
(34.672203, -92.417539)",8/30/15
2015-139942,81,Breaking or Entering Vehicle,"3320 BASELINE RD
Little Rock, Arkansas
(34.667773, -92.315493)",12/8/15
2015-042163,40,Breaking or Entering Vehicle,"818 CUMBERLAND ST
Little Rock, Arkansas
(34.740184, -92.269415)",4/19/15
2015-109817,82,Theft of property Misd,"22 OLD GLORY CT
Little Rock, Arkansas
(34.661953, -92.340935)",09/22/2015-09/24/2015
2015-042417,64,Theft of property Misd,"11301 W MARKHAM ST
Little Rock, Arkansas
(34.75396, -92.400988)",04/16/2015-04/20/2015
2014-007603,50,Breaking or Entering Vehicle,"330 MIDLAND ST
Little Rock, Arkansas
(34.752712, -92.309334)",01/20/2014-01/21/2014
2015-097006,64,Theft of property Misd,"9400 W MARKHAM ST
Little Rock, Arkansas
(34.753451, -92.378796)",8/25/15
2015-002160,93,Theft of property Felony,"13300 INTERSTATE 30
Little Rock, Arkansas
(34.642484, -92.440872)",1/6/15
2015-009054,81,Robbery (Individual),"7226 GEYER SPRINGS RD
Little Rock, Arkansas
(34.683975, -92.343594)",1/24/15
2015-109473,40,Theft of property Felony,"1401 S SCOTT ST
Little Rock, Arkansas
(34.734555, -92.27174)",9/23/15
2015-028179,61,Theft of property Felony,"6920 COLONEL GLENN RD
Little Rock, Arkansas
(34.718052, -92.351876)",3/16/15
2015-036375,91,Burglary - Residential,"7113 CAMELOT DR
Little Rock, Arkansas
(34.654163, -92.357839)",4/5/15
2015-040447,81,Theft of property Misd,"8709 GEYER SPRINGS RD
Little Rock, Arkansas
(34.670591, -92.344282)",4/15/15
2015-093915,52,Theft of property lost mislaid or delivered by mistake Felony,"1702 S GAINES ST
Little Rock, Arkansas
(34.733123, -92.28065)",8/7/15
2015-085913,52,Aggravated assault,"1501 DR MARTIN LUTHER KIN DR
Little Rock, Arkansas
(34.736301, -92.289419)",7/29/15
2014-006569,92,Theft of property Misd,"5 RICHSMITH CV
Little Rock, Arkansas
(34.664731, -92.381181)",01/11/2014-01/18/2014
2015-097064,54,Theft of property Misd,"4101 W 17TH ST
Little Rock, Arkansas
(34.735731, -92.319398)",8/25/15
2014-041467,72,Theft of property Misd,"19301 CANTRELL RD
Little Rock, Arkansas
(34.810854, -92.484164)",03/26/2014-03/28/2014
2015-076270,42,Aggravated assault on an family or household member,"1809 SECURITY AV
Little Rock, Arkansas
(34.729302, -92.252124)",7/7/15
2014-120124,40,Breaking or Entering Vehicle,"601 E 9TH ST
Little Rock, Arkansas
(34.739568, -92.266131)",10/15/2014-10/16/2014
2015-036188,62,Burglary - Residential,"4023 COBB ST
Little Rock, Arkansas
(34.716223, -92.368808)",04/04/2015-04/05/2015
2014-132072,63,Theft of property Felony,"9112 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.757468, -92.375618)",09/24/2014-11/14/2014
2015-024131,60,Theft of property Felony,"2208 N ARTHUR ST
Little Rock, Arkansas
(34.772624, -92.342719)",3/5/15
2014-131668,93,Theft of property Misd,"1 PAR DR
Little Rock, Arkansas
(34.671958, -92.427708)",11/12/2014-11/13/2014
2015-126082,62,Burglary Commercial,"3124 S UNIVERSITY AV
Little Rock, Arkansas
(34.723523, -92.342068)",11/3/15
2014-049863,51,Burglary - Residential,"1006 RICE ST
Little Rock, Arkansas
(34.741509, -92.29997)",05/07/2014-05/08/2014
2015-131664,54,Burglary - Residential,"1404 S VAN BUREN ST
Little Rock, Arkansas
(34.738825, -92.3312)",11/15/15
2015-018503,81,Burglary - Residential,"8701 INTERSTATE 30
Little Rock, Arkansas
(34.678524, -92.347836)",01/16/2015-02/11/2015
2015-128246,41,Breaking or Entering Vehicle,"700 E 21ST ST
Little Rock, Arkansas
(34.728455, -92.266002)",11/8/15
2014-098539,50,Theft of property Felony,"505 N FILLMORE ST
Little Rock, Arkansas
(34.756066, -92.336927)",08/20/2014-08/23/2014
2015-005876,90,Theft of property Misd,"9911 INTERSTATE 30
Little Rock, Arkansas
(34.671962, -92.374696)",09/15/2014-01/16/2015
2015-137637,70,Breaking or Entering Vehicle,"1114 OLD CHARTER CT
Little Rock, Arkansas
(34.763777, -92.402595)",12/02/2015-12/03/2015
2014-065156,72,Theft of property Misd,"5400 CHENONCEAU
Little Rock, Arkansas
(34.803956, -92.471597)",06/11/2014-06/12/2014
2015-075481,90,Breaking or Entering Vehicle,"10008 YELLOW PINE LN
Little Rock, Arkansas
(34.707212, -92.387592)",07/05/2015-07/06/2015
2015-071862,90,Theft of property Misd,"12626 LAWSON RD
Little Rock, Arkansas
(34.707733, -92.413096)",6/28/15
2015-083569,82,Breaking or Entering Vehicle,"9110 LEW DR
Little Rock, Arkansas
(34.667633, -92.340283)",7/24/15
2015-111074,40,Theft of property Misd,"320 PRESIDENT CLINTON AV
Little Rock, Arkansas
(34.747739, -92.267654)",9/27/15
2014-144976,71,Theft of property Misd,"12208 W MARKHAM ST
Little Rock, Arkansas
(34.754166, -92.411272)",12/10/2014-12/17/2014
2014-137028,60,Theft of property Felony,"400 N UNIVERSITY AV
Little Rock, Arkansas
(34.755115, -92.34114)",11/26/2014-11/27/2014
2015-077351,63,Breaking or Entering Vehicle,"10 TOWNE PARK CT
Little Rock, Arkansas
(34.761986, -92.377391)",07/08/2015-07/10/2015
2014-139625,64,Theft of scrap metal,"303 S BOWMAN RD
Little Rock, Arkansas
(34.751969, -92.407042)",12/03/2014-12/04/2014
2015-035032,50,Breaking or Entering Vehicle,"502 N OAK ST
Little Rock, Arkansas
(34.755449, -92.314686)",04/01/2015-04/02/2015
2015-134426,82,Theft of property Felony,"5918 DREXEL AV
Little Rock, Arkansas
(34.658402, -92.344642)",11/23/2015-11/24/2015
2015-089316,62,Burglary - Residential,"20 FAIRMONT DR
Little Rock, Arkansas
(34.722898, -92.344871)",8/6/15
2015-066683,54,Theft of property Felony,"301 S UNIVERSITY AV
Little Rock, Arkansas
(34.749118, -92.341146)",6/9/15
2015-086113,71,Breaking or Entering Vehicle,"300 SHADOW RIDGE DR
Little Rock, Arkansas
(34.751021, -92.421939)",07/29/2015-07/30/2015
2015-145209,42,Theft of property Felony,"1300 E 9TH ST
Little Rock, Arkansas
(34.739321, -92.25642)",12/20/15
2015-140061,71,Theft of property Misd,"13909 CHENAL
Little Rock, Arkansas
(34.754371, -92.4279)",12/9/15
2015-115668,43,Theft of property Misd,"3701 SPRINGER
Little Rock, Arkansas
(34.712089, -92.254748)",10/8/15
2015-035274,63,Breaking or Entering Vehicle,"323 SANTA FE TRAIL
Little Rock, Arkansas
(34.756796, -92.381132)",04/02/2015-04/03/2015
2015-125182,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",10/31/15
2015-033999,91,Burglary - Residential,"8 CACTUS
Little Rock, Arkansas
(34.664515, -92.370449)",3/31/15
2015-130781,71,Domestic Battering 2nd degree,"10 PONTALBA DR
Little Rock, Arkansas
(34.760222, -92.424718)",11/14/15
2014-104157,54,Breaking or Entering Vehicle,"925 S UNIVERSITY AV
Little Rock, Arkansas
(34.743909, -92.341361)",09/08/2014-09/09/2014
2015-099532,64,Breaking or Entering Vehicle,"1700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.739222, -92.394418)",8/31/15
2015-093268,52,Burglary - Residential,"1519 WOLFE ST
Little Rock, Arkansas
(34.735911, -92.29303)",8/15/15
2015-098860,50,Burglary - Residential,"3711 OAKWOOD RD
Little Rock, Arkansas
(34.759499, -92.314339)",08/28/2015-08/29/2015
2015-141923,80,Theft of property Misd,"5810 MAUREEN DR
Little Rock, Arkansas
(34.704132, -92.34124)",12/14/15
2014-016242,64,Theft of property Misd,"2600 S SHACKLEFORD RD
Little Rock, Arkansas
(34.733384, -92.394707)",02/12/2014-02/13/2014
2014-010778,64,Theft of property Felony,"2616 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729982, -92.394845)",11/18/2013-01/29/2014
2015-124073,82,Aggravated assault,"5519 VALLEY DR
Little Rock, Arkansas
(34.661247, -92.340083)",10/28/15
2015-055916,91,Theft of property Misd,"10422 CHICOT RD
Little Rock, Arkansas
(34.655714, -92.363153)",5/22/15
2014-088373,63,Theft of property Misd,"8424 LEATRICE DR
Little Rock, Arkansas
(34.770752, -92.36808)",08/02/2014-08/04/2014
2015-017079,54,Burglary - Residential,"4200 W 14TH ST
Little Rock, Arkansas
(34.738672, -92.320424)",2/13/15
2015-025882,91,Theft of property Felony,"10306 IMPALA DR
Little Rock, Arkansas
(34.656989, -92.367007)",03/10/2015-03/11/2015
2015-128362,51,Breaking or Entering Vehicle,"2000 MARYLAND AV
Little Rock, Arkansas
(34.742616, -92.295123)",11/8/15
2015-117067,63,Burglary Commercial,"10720 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.770657, -92.393829)",10/11/15
2014-060512,41,Theft of property Misd,"2017 PARK LN
Little Rock, Arkansas
(34.729072, -92.267375)",06/01/2014-06/02/2014
2015-031490,80,Burglary Commercial,"5401 ASHER AV
Little Rock, Arkansas
(34.719451, -92.334153)",03/24/2015-03/25/2015
2015-135615,64,Theft of property Misd,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",11/27/15
2015-087958,71,Theft of property Felony,"1312 POINT WEST DR
Little Rock, Arkansas
(34.742093, -92.414282)",07/25/2015-08/03/2015
2015-083788,52,Theft of property Felony,"2301 W 17TH ST
Little Rock, Arkansas
(34.734807, -92.299287)",7/24/15
2015-105466,61,Theft of property Misd,"1216 S UNIVERSITY AV
Little Rock, Arkansas
(34.740662, -92.341631)",9/13/15
2015-080863,81,Aggravated Robbery (Individual),"6320 BUTLER RD
Little Rock, Arkansas
(34.691664, -92.331791)",7/18/15
2015-010203,50,Breaking or Entering Vehicle,"1709 N PIERCE ST
Little Rock, Arkansas
(34.767918, -92.33829)",01/26/2015-01/27/2015
2015-032812,41,Theft of property Misd,"3001 CENTER ST
Little Rock, Arkansas
(34.719586, -92.276569)",3/28/15
2015-000412,63,Burglary - Residential,"1800 SANFORD DR
Little Rock, Arkansas
(34.769071, -92.379806)",1/1/15
2015-136629,91,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",11/30/15
2014-117566,64,Theft of property Misd,"11400 W MARKHAM ST
Little Rock, Arkansas
(34.75393, -92.399487)",10/09/2014-10/10/2014
2015-105248,50,Theft of property Misd,"1021 JESSIE RD
Little Rock, Arkansas
(34.758994, -92.299315)",9/13/15
2014-015378,81,Burglary - Residential,"8701 INTERSTATE 30
Little Rock, Arkansas
(34.678524, -92.347836)",02/10/2014-02/11/2014
2015-018292,81,Burglary - Residential,"5901 YOUNG RD
Little Rock, Arkansas
(34.679876, -92.342911)",2/17/15
2015-147221,72,Theft of wireless service Felony,"5 FARRAH LN
Little Rock, Arkansas
(34.814728, -92.467099)",11/15/15
2014-031709,70,Theft of property Misd,"4710 SAM PECK RD
Little Rock, Arkansas
(34.796099, -92.414903)",03/18/2014-03/25/2014
2015-031139,61,Theft of property Misd,"800 BROOKSIDE DR
Little Rock, Arkansas
(34.759499, -92.373204)",3/24/15
2015-026405,91,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",3/12/15
2014-059712,61,Theft of property Misd,"1601 WESTPARK DR
Little Rock, Arkansas
(34.737249, -92.350613)",05/30/2014-05/31/2014
2015-105804,70,Burglary - Residential,"1601 N SHACKLEFORD RD
Little Rock, Arkansas
(34.768212, -92.395807)",9/14/15
2014-000681,61,Theft of property Misd,"8701 RILEY DR
Little Rock, Arkansas
(34.743979, -92.364371)",09/30/2013-01/02/2014
2015-089517,63,Theft of property Felony,"6 BRENNAN LN
Little Rock, Arkansas
(34.764763, -92.375293)",8/6/15
2015-087683,50,Theft of property Misd,"207 N UNIVERSITY AV
Little Rock, Arkansas
(34.753484, -92.341067)",8/2/15
2014-065550,71,Theft of property Felony,"1502 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.766503, -92.403096)",06/12/2014-06/13/2014
2014-043271,70,Theft of property Misd,"2001 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.77139, -92.403362)",04/20/2014-04/21/2014
2015-010461,62,Aggravated Robbery (Individual),"6310 COLONEL GLENN RD
Little Rock, Arkansas
(34.717773, -92.346014)",1/27/15
2015-145320,71,Theft of property Misd,"12212 RAINWOOD RD
Little Rock, Arkansas
(34.76904, -92.409241)",12/21/15
2015-057759,70,Burglary - Residential,"524 N SHACKLEFORD RD
Little Rock, Arkansas
(34.759827, -92.394946)",5/26/15
2015-085387,82,Theft of property Misd,"1 ARAPAHO CT
Little Rock, Arkansas
(34.664534, -92.32415)",7/25/15
2015-050510,72,Breaking or Entering Vehicle,"10 EQUENNES DR
Little Rock, Arkansas
(34.799853, -92.471239)",05/08/2014-05/09/2015
2015-136018,63,Theft of property Misd,"1010 BRECKENRIDGE DR
Little Rock, Arkansas
(34.763729, -92.389481)",11/28/15
2015-045997,54,Theft of property Felony,"2400 S TYLER ST
Little Rock, Arkansas
(34.729897, -92.333848)",4/28/15
2015-147980,52,Aggravated Robbery (Individual),"2200 S ARCH ST
Little Rock, Arkansas
(34.727543, -92.27994)",12/29/15
2015-085226,90,Breaking or Entering Vehicle,"8 ARNOLD PALMER CV
Little Rock, Arkansas
(34.668864, -92.432312)",07/27/2015-07/28/2015
2015-005010,40,Breaking or Entering Vehicle,"323 E PRESIDENT CLINTON AV
Little Rock, Arkansas
(34.747736, -92.26763)",1/9/15
2014-051352,60,Breaking or Entering Vehicle,"400 S UNIVERSITY AV
Little Rock, Arkansas
(34.7494, -92.341294)",05/10/2014-05/11/2014
2015-070670,71,Theft of property Misd,"13909 CHENAL
Little Rock, Arkansas
(34.754371, -92.4279)",6/25/15
2014-009390,71,Burglary - Residential,"4 JOHNNYCAKE LN
Little Rock, Arkansas
(34.765546, -92.40534)",01/18/2014-01/25/2014
2015-058391,40,Domestic Battering 2nd degree,"415 E 15TH ST
Little Rock, Arkansas
(34.733764, -92.268625)",5/28/15
2015-049928,54,Theft of property Misd,"4710 W 12TH ST
Little Rock, Arkansas
(34.740863, -92.326578)",05/05/2015-05/06/2015
2015-059871,64,Aggravated assault on an family or household member,"9413 DARTMOUTH DR
Little Rock, Arkansas
(34.724875, -92.379923)",5/31/15
2015-090676,64,Burglary - Residential,"2906 MALLOY ST
Little Rock, Arkansas
(34.726802, -92.375)",08/08/2015-08/09/2015
2014-067395,93,Breaking or Entering Vehicle,"12225 STAGECOACH RD
Little Rock, Arkansas
(34.646682, -92.442689)",06/30/2014-06/10/2014
2015-050453,60,Breaking or Entering Vehicle,"2011 N CLEVELAND ST
Little Rock, Arkansas
(34.771271, -92.343914)",5/9/15
2015-115992,64,Theft of property Felony,"3009 MALLOY ST
Little Rock, Arkansas
(34.725798, -92.375019)",10/08/2015-10/09/2015
2015-046286,60,Burglary - Residential,"308 N PLAZA DR
Little Rock, Arkansas
(34.755013, -92.346409)",4/29/15
2014-118480,71,Theft of property Felony,"15108 KANIS RD
Little Rock, Arkansas
(34.75067, -92.437648)",10/11/2014-10/12/2014
2015-091679,81,Burglary Commercial,"7420 ENMAR DR
Little Rock, Arkansas
(34.681331, -92.349249)",8/11/15
2014-094617,60,Breaking or Entering Vehicle,"7500 MISSOURI AV
Little Rock, Arkansas
(34.766361, -92.357252)",08/18/2014-08/19/2014
2015-059211,50,Aggravated Robbery (Business),"4100 W MARKHAM ST
Little Rock, Arkansas
(34.751488, -92.318743)",5/29/15
2015-107519,71,Burglary - Residential,"12421 CHERRY LAUREL DR
Little Rock, Arkansas
(34.737262, -92.411402)",9/18/15
2015-132228,53,Theft of property Misd,"3514 W 12TH ST
Little Rock, Arkansas
(34.740267, -92.313031)",11/18/15
2015-035475,61,Theft of property Misd,"34 ROSEMONT DR
Little Rock, Arkansas
(34.729728, -92.344503)",03/31/2015-04/02/2015
