IncidentNumber,District,offenseDesc1,IncidentAddress,IncidentDate
2016-005745,52,THEFT OF PROPERTY MISD,"1100 WRIGHT AV
Little Rock, Arkansas
(34.731896, -92.286164)",1/15/15
2016-007769,71,THEFT OF PROPERTY MISD,"13909 CHENAL
Little Rock, Arkansas
(34.753698, -92.430096)",1/15/16
2016-037712,72,THEFT OF PROPERTY MISD,"19301 CANTRELL RD
Little Rock, Arkansas
(34.810854, -92.484164)",4/7/16
2016-010589,52,THEFT OF PROPERTY MISD,"1800 BROADWAY ST
Little Rock, Arkansas
(34.73147, -92.278489)",1/28/16
2016-010790,82,THEFT OF PROPERTY MISD,"5023 BASELINE RD
Little Rock, Arkansas
(34.6687, -92.334423)",1/29/16
2016-066196,40,THEFT OF PROPERTY MISD,"400 E PRESIDENT CLINTON AVE
Little Rock, Arkansas
(34.747537, -92.266179)",6/15/2016-6/16/2016
2016-121746,91,THEFT OF PROPERTY MISD,"9212 WOODFORD DR
Little Rock, Arkansas
(34.666545, -92.371918)",10/28/16
2016-144204,91,THEFT OF PROPERTY MISD,"8 TERRACE PL
Little Rock, Arkansas
(34.666613, -92.367609)",12/24/2016-12/25/2016
2016-003438,81,THEFT OF PROPERTY MISD,"2401 W 65TH ST
Little Rock, Arkansas
(34.688986, -92.304433)",1/9/16
2016-006981,60,THEFT OF PROPERTY MISD,"6700 H ST
Little Rock, Arkansas
(34.7597, -92.34663)",1/15/16
2016-018773,61,THEFT OF PROPERTY MISD,"1400 S UNIVERSITY AVE
Little Rock, Arkansas
(34.738851, -92.341673)",2/19/14
2016-012660,91,THEFT OF PROPERTY MISD,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.376701)",2/3/16
2016-138296,71,THEFT OF PROPERTY MISD,"12500 W MARKHAM ST
Little Rock, Arkansas
(34.754202, -92.412228)",12/9/16
2016-058131,52,THEFT OF PROPERTY MISD,"2100 THAYER ST
Little Rock, Arkansas
(34.730539, -92.301805)",5/27/16 0:00
2016-093250,72,THEFT OF PROPERTY MISD,"17000 CANTRELL RD
Little Rock, Arkansas
(34.804932, -92.461548)",8/19/16
2016-009948,64,THEFT OF PROPERTY MISD,"401 JOHN BARROW RD
Little Rock, Arkansas
(34.748683, -92.372054)",1/27/16
2016-098219,90,THEFT OF PROPERTY MISD,"11701 COLONEL GLENN RD
Little Rock, Arkansas
(34.712188, -92.405472)",5/27/2016-8/31/2016
2016-069610,64,THEFT OF PROPERTY MISD,"2123 LABETTE MANOR DR
Little Rock, Arkansas
(34.734697, -92.376363)",6/23/2016-6/24/2016
2016-039908,54,THEFT OF PROPERTY MISD,"2705 PEYTON ST
Little Rock, Arkansas
(34.726629, -92.322918)",04/11/2016-04/12/2016
2016-027969,52,THEFT OF PROPERTY MISD,"2611 BISHOP ST
Little Rock, Arkansas
(34.723484, -92.290956)",5/1/13
2016-078120,54,THEFT OF PROPERTY MISD,"2605 S FILLMORE ST
Little Rock, Arkansas
(34.728002, -92.337214)",7/13/16
2016-087456,63,THEFT OF PROPERTY MISD,"9700 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.760965, -92.381579)",8/4/16
2016-011120,90,THEFT OF PROPERTY MISD,"10312 BASELINE RD
Little Rock, Arkansas
(34.670541, -92.392277)",1/30/16
2016-086562,80,THEFT OF PROPERTY MISD,"18 DELLWOOD DR
Little Rock, Arkansas
(34.704305, -92.334469)",6/1/2016-7/28/2016
2016-008987,62,THEFT OF PROPERTY MISD,"3924 WALKER ST
Little Rock, Arkansas
(34.717057, -92.366581)",1/25/16
2016-046605,51,THEFT OF PROPERTY MISD,"1 CHILDRENS WAY
Little Rock, Arkansas
(34.743014, -92.291658)",4/27/16
2016-003940,60,THEFT OF PROPERTY MISD,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752338, -92.343058)",1/11/16
2016-138047,53,THEFT OF PROPERTY MISD,"702 MAPLE ST
Little Rock, Arkansas
(34.744922, -92.314372)",12/08/2016-12/09/2016
2016-115981,64,THEFT OF PROPERTY MISD,"4423 MALLOY ST
Little Rock, Arkansas
(34.713329, -92.37543)",10/14/16
2016-001460,40,THEFT OF PROPERTY MISD,"700 MAIN ST
Little Rock, Arkansas
(34.741989, -92.271514)",1/4/16
2016-046294,63,THEFT OF PROPERTY MISD,"10901 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771421, -92.395699)",4/28/16
2016-027988,62,THEFT OF PROPERTY MISD,"3910 S UNIVERSITY AVE
Little Rock, Arkansas
(34.71558, -92.342703)",3/14/14
2016-125599,70,THEFT OF PROPERTY MISD,"1601 N SHACKLEFORD RD
Little Rock, Arkansas
(34.768004, -92.395817)",11/7/16
2016-005787,54,THEFT OF PROPERTY MISD,"4110 W 12TH ST
Little Rock, Arkansas
(34.74058, -92.31952)",1/15/16
2016-086393,64,THEFT OF PROPERTY MISD,"10912 COLONEL GLENN RD
Little Rock, Arkansas
(34.712684, -92.398815)",8/2/16
2016-006311,53,THEFT OF PROPERTY MISD,"521 APPIANWAY ST
Little Rock, Arkansas
(34.7465, -92.304291)",1/17/16
2016-126056,41,THEFT OF PROPERTY MISD,"317 W 17TH ST
Little Rock, Arkansas
(34.732841, -92.276516)",11/8/16
2016-145445,54,THEFT OF PROPERTY MISD,"2 SAINT VINCENT CIR
Little Rock, Arkansas
(34.750182, -92.338253)",12/27/16
2016-003972,71,THEFT OF PROPERTY MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",1/11/16
2016-010375,50,THEFT OF PROPERTY MISD,"5705 KAVANAUGH BLVD
Little Rock, Arkansas
(34.770238, -92.337329)",1/28/16
2016-014476,91,THEFT OF PROPERTY MISD,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.376701)",2/5/16
2016-024512,81,THEFT OF PROPERTY MISD,"8717 GEYER SPRINGS RD
Little Rock, Arkansas
(34.670656, -92.344277)",03/04/2016-03/05/2016
2016-016370,91,THEFT OF PROPERTY MISD,"11500 CHICOT RD
Little Rock, Arkansas
(34.647297, -92.363498)",2/5/16
2016-040900,52,THEFT OF PROPERTY MISD,"800 W 15TH ST
Little Rock, Arkansas
(34.735508, -92.281403)",04/12/2016-04/15/2016
2016-136325,64,THEFT OF PROPERTY MISD,"14020 RIDGEWOOD DR
Little Rock, Arkansas
(34.729193, -92.402875)",12/02/2016-12/05/2016
2015-148232,80,THEFT OF PROPERTY MISD,"4803 GREENFIELD DR
Little Rock, Arkansas
(34.702081, -92.328754)",12/30/15
2016-012208,91,THEFT OF PROPERTY MISD,"10206 MABELVALE PLAZA DR
Little Rock, Arkansas
(34.667654, -92.378961)",1/26/16
2016-037853,71,THEFT OF PROPERTY MISD,"13909 CHENAL PKWY
Little Rock, Arkansas
(34.753698, -92.430096)",4/7/16
2016-098915,64,THEFT OF PROPERTY MISD,"10434 W 36TH ST
Little Rock, Arkansas
(34.721207, -92.391857)",9/1/2016-9/2/2016
2016-107432,81,THEFT OF PROPERTY MISD,"6803 LANCASTER RD
Little Rock, Arkansas
(34.686856, -92.334306)",08/11/2016-09/09/2016
2016-004070,63,THEFT OF PROPERTY MISD,"609 BROOKSIDE DR
Little Rock, Arkansas
(34.758337, -92.373156)",1/11/16
2016-029705,71,THEFT OF PROPERTY MISD,"13101 CHENAL PKWY
Little Rock, Arkansas
(34.754777, -92.419689)",03/14/2016-03/18/2016
2016-130937,62,THEFT OF PROPERTY MISD,"5201 WESTERN HILLS AVE
Little Rock, Arkansas
(34.705492, -92.360381)",11/20/16
2016-120025,62,THEFT OF PROPERTY MISD,"3500 S UNIVERSITY AVE
Little Rock, Arkansas
(34.72095, -92.342142)",10/01/2016-10/24/2016
2016-006464,62,THEFT OF PROPERTY MISD,"6211 COLONEL GLENN RD
Little Rock, Arkansas
(34.717708, -92.344295)",1/17/16
2016-010679,82,THEFT OF PROPERTY MISD,"9010 HILARO SPRINGS RD
Little Rock, Arkansas
(34.666459, -92.318515)",1/29/16
2016-096581,71,THEFT OF PROPERTY MISD,"1602 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768691, -92.403718)",8/26/16
2016-077266,71,THEFT OF PROPERTY MISD,"1 POINT SOUTH CT
Little Rock, Arkansas
(34.764799, -92.406546)",7/11/16
2016-111857,52,THEFT OF PROPERTY MISD,"2608 MARSHALL ST
Little Rock, Arkansas
(34.723429, -92.292153)",10/4/16
2016-002409,82,THEFT OF PROPERTY MISD,"7501 FAIRFIELD DR
Little Rock, Arkansas
(34.665498, -92.361613)",1/7/16
2016-006060,64,THEFT OF PROPERTY MISD,"2600 S SHACKLEFORD RD
Little Rock, Arkansas
(34.733347, -92.394709)",1/16/16
2016-032311,80,THEFT OF PROPERTY MISD,"6004 W 53RD ST
Little Rock, Arkansas
(34.701679, -92.343022)",03/24/2016-03/25/2016
2016-000739,52,THEFT OF PROPERTY MISD,"1500 WRIGHT AVE
Little Rock, Arkansas
(34.732071, -92.2899)",1/2/16
2016-009912,64,THEFT OF PROPERTY MISD,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",1/27/16
2016-009141,81,THEFT OF PROPERTY MISD,"8824 GEYER SPRINGS RD
Little Rock, Arkansas
(34.670527, -92.344286)",1/25/16
2016-000270,71,THEFT OF PROPERTY MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",1/1/16
2016-002101,40,THEFT OF PROPERTY MISD,"108 E 7TH ST
Little Rock, Arkansas
(34.742085, -92.270835)",12/3/15
2016-012258,82,THEFT OF PROPERTY MISD,"5400 STANLEY DR
Little Rock, Arkansas
(34.665611, -92.339025)",2/2/16
2016-000470,62,THEFT OF PROPERTY MISD,"3014 BOYD ST
Little Rock, Arkansas
(34.725517, -92.369587)",1/1/16
2016-046694,90,THEFT OF PROPERTY MISD,"401 COLONEL GLENN PLAZA LOOP
Little Rock, Arkansas
(34.70646, -92.406687)",4/28/16
2016-018911,54,THEFT OF PROPERTY MISD,"5722 W 12TH ST
Little Rock, Arkansas
(34.74124, -92.337469)",2/20/16
2016-017158,54,THEFT OF PROPERTY MISD,"2901 S MONROE ST
Little Rock, Arkansas
(34.725333, -92.328592)",2/14/16
2016-015585,63,THEFT OF PROPERTY MISD,"9500 SATTERFIELD DR
Little Rock, Arkansas
(34.762059, -92.381235)",2/11/16
2016-048578,51,THEFT OF PROPERTY MISD,"1111 W MARKHAM ST
Little Rock, Arkansas
(34.749787, -92.282826)",5/3/16
2016-016028,50,THEFT OF PROPERTY MISD,"401 N PINE ST
Little Rock, Arkansas
(34.754405, -92.316259)",2/12/16
2016-020309,81,THEFT OF PROPERTY MISD,"7523 DOYLE SPRINGS RD
Little Rock, Arkansas
(34.680263, -92.328082)",2/23/16
2016-033470,42,THEFT OF PROPERTY MISD,"1 AIRPORT RD
Little Rock, Arkansas
(34.727078, -92.218952)",3/28/16
2016-014290,81,THEFT OF PROPERTY MISD,"8 DAVEN CT
Little Rock, Arkansas
(34.687598, -92.333331)",2/7/16
2016-015714,72,THEFT OF PROPERTY MISD,"16105 CHENAL PKWY
Little Rock, Arkansas
(34.758122, -92.448962)",2/11/16
2016-044617,53,THEFT OF PROPERTY MISD,"222 BARTON ST
Little Rock, Arkansas
(34.748334, -92.297658)",4/20/16
2016-030241,64,THEFT OF PROPERTY MISD,"2600 S SHACKLEFORD RD
Little Rock, Arkansas
(34.733347, -92.394709)",3/19/16
2016-011077,61,THEFT OF PROPERTY MISD,"8415 W MARKHAM ST
Little Rock, Arkansas
(34.753158, -92.368194)",1/30/16
2016-050071,63,THEFT OF PROPERTY MISD,"10901 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771421, -92.395699)",5/7/16
2016-021237,60,THEFT OF PROPERTY MISD,"500 S UNIVERSITY AVE
Little Rock, Arkansas
(34.748043, -92.341337)",2/8/16
2016-030839,72,THEFT OF PROPERTY MISD,"165 PEBBLE BEACH DR
Little Rock, Arkansas
(34.781629, -92.434483)",3/21/16
2016-035843,80,THEFT OF PROPERTY MISD,"6320 BUTLER RD
Little Rock, Arkansas
(34.691664, -92.331791)",4/3/16
2016-036100,43,THEFT OF PROPERTY MISD,"801 E ROOSEVELT RD
Little Rock, Arkansas
(34.723842, -92.26376)",4/3/16
2016-033101,50,THEFT OF PROPERTY MISD,"1220 REBSAMEN PARK RD
Little Rock, Arkansas
(34.762132, -92.310118)",3/27/16
2016-040795,63,THEFT OF PROPERTY MISD,"510 BROOKSIDE DR
Little Rock, Arkansas
(34.757971, -92.373139)",4/14/16
2016-047954,71,THEFT OF PROPERTY MISD,"1602 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768691, -92.403718)",5/2/16
2016-028956,60,THEFT OF PROPERTY MISD,"420 S UNIVERSITY AVE
Little Rock, Arkansas
(34.749245, -92.3413)",3/16/16
2016-053914,43,THEFT OF PROPERTY MISD,"920 SHALL AVE
Little Rock, Arkansas
(34.739037, -92.256546)",4/21/16
2016-047855,64,THEFT OF PROPERTY MISD,"8100 W 36TH ST
Little Rock, Arkansas
(34.720488, -92.365387)",5/2/16
2016-037272,71,THEFT OF PROPERTY MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",4/6/16
2016-019763,52,THEFT OF PROPERTY MISD,"2600 HOWARD ST
Little Rock, Arkansas
(34.724712, -92.298789)",2/22/16
2016-034038,71,THEFT OF PROPERTY MISD,"12610 CHENAL PKWY
Little Rock, Arkansas
(34.753879, -92.414284)",3/29/16
2016-013627,60,THEFT OF PROPERTY MISD,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752338, -92.343058)",2/5/16
2016-001691,71,THEFT OF PROPERTY MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",1/5/16
2016-031483,41,THEFT OF PROPERTY MISD,"1923 S ROCK ST
Little Rock, Arkansas
(34.729739, -92.270013)",3/23/16
2016-045081,40,THEFT OF PROPERTY MISD,"219 RIVER MARKET AVE
Little Rock, Arkansas
(34.74577, -92.265868)",4/16/16
2016-039464,62,THEFT OF PROPERTY MISD,"3412 S UNIVERSITY AVE
Little Rock, Arkansas
(34.720879, -92.342144)",4/11/16
2016-021110,63,THEFT OF PROPERTY MISD,"6 LORNA DR
Little Rock, Arkansas
(34.758509, -92.359315)",2/25/16
2016-017392,64,THEFT OF PROPERTY MISD,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",2/16/16
2016-021766,43,THEFT OF PROPERTY MISD,"1423 E 11TH ST
Little Rock, Arkansas
(34.736659, -92.249022)",2/27/16
2016-040903,51,THEFT OF PROPERTY MISD,"700 W MARKHAM ST
Little Rock, Arkansas
(34.74909, -92.277695)",4/11/16
2016-054783,50,THEFT OF PROPERTY MISD,"5012 KAVANAUGH BLVD
Little Rock, Arkansas
(34.769016, -92.329707)",5/6/16
2016-023859,72,THEFT OF PROPERTY MISD,"14810 CANTRELL RD
Little Rock, Arkansas
(34.800924, -92.437424)",3/3/16
2016-042671,54,THEFT OF PROPERTY MISD,"4514 W 12TH ST
Little Rock, Arkansas
(34.740783, -92.324317)",4/19/16
2016-037322,64,THEFT OF PROPERTY MISD,"2710 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729323, -92.39487)",4/6/16
2016-030890,93,THEFT OF PROPERTY MISD,"15007 OTTER CREEK PKWY
Little Rock, Arkansas
(34.66037, -92.434174)",3/19/16
2016-031681,50,THEFT OF PROPERTY MISD,"1414 REBSAMEN PARK RD
Little Rock, Arkansas
(34.763788, -92.310061)",3/23/16
2016-036436,60,THEFT OF PROPERTY MISD,"1100 N UNIVERSITY AVE
Little Rock, Arkansas
(34.761816, -92.340892)",4/4/16
2016-040774,40,THEFT OF PROPERTY MISD,"700 MAIN ST
Little Rock, Arkansas
(34.741989, -92.271514)",4/11/16
2016-018930,80,THEFT OF PROPERTY MISD,"4601 S UNIVERSITY AVE
Little Rock, Arkansas
(34.71023, -92.343471)",2/20/16
2016-040234,90,THEFT OF PROPERTY MISD,"18 COLONEL GLENN PLAZA DR
Little Rock, Arkansas
(34.708456, -92.404318)",4/13/16
2016-034310,91,THEFT OF PROPERTY MISD,"12420 CHICOT RD
Little Rock, Arkansas
(34.637769, -92.363776)",3/30/16
2016-039632,71,THEFT OF PROPERTY MISD,"12700 CHENAL PKWY
Little Rock, Arkansas
(34.754179, -92.414858)",4/2/16
2016-031374,54,THEFT OF PROPERTY MISD,"1704 S FILLMORE ST
Little Rock, Arkansas
(34.736281, -92.336952)",3/22/16
2016-017095,42,THEFT OF PROPERTY MISD,"5501 FOURCHE DAM PIKE
Little Rock, Arkansas
(34.72617, -92.207232)",2/11/16
2016-033103,43,THEFT OF PROPERTY MISD,"1300 E 16TH ST
Little Rock, Arkansas
(34.732052, -92.258124)",3/27/16
2016-020637,60,THEFT OF PROPERTY MISD,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752338, -92.343058)",2/24/16
2016-036656,62,THEFT OF PROPERTY MISD,"6200 COLONEL GLENN RD
Little Rock, Arkansas
(34.7177, -92.343676)",4/5/16
2016-015281,41,THEFT OF PROPERTY MISD,"2415 BROADWAY ST
Little Rock, Arkansas
(34.725271, -92.2788)",2/10/16
2016-018955,82,THEFT OF PROPERTY MISD,"5400 STANLEY DR
Little Rock, Arkansas
(34.665611, -92.339025)",2/20/16
2016-024969,64,THEFT OF PROPERTY MISD,"2600 S SHACKLEFORD RD
Little Rock, Arkansas
(34.733347, -92.394709)",3/6/16
2016-016499,81,THEFT OF PROPERTY MISD,"6100 MITCHELL DR
Little Rock, Arkansas
(34.677292, -92.345419)",2/13/16
2016-037862,81,THEFT OF PROPERTY MISD,"7724 GEYER SPRINGS RD
Little Rock, Arkansas
(34.679743, -92.343778)",4/7/16
2016-024717,42,THEFT OF PROPERTY MISD,"1 AIRPORT RD
Little Rock, Arkansas
(34.727078, -92.218952)",3/5/16
2016-031093,54,THEFT OF PROPERTY MISD,"2719 ABIGAIL ST
Little Rock, Arkansas
(34.726263, -92.321761)",3/22/16
2016-034137,81,THEFT OF PROPERTY MISD,"5300 BASELINE RD
Little Rock, Arkansas
(34.668816, -92.33675)",3/30/16
2016-047708,70,THEFT OF PROPERTY MISD,"11704 PLEASANT RIDGE DR
Little Rock, Arkansas
(34.796476, -92.406644)",5/2/16
2016-030381,93,THEFT OF PROPERTY MISD,"9125 STAGECOACH RD
Little Rock, Arkansas
(34.669343, -92.419275)",3/20/16
2016-046400,54,THEFT OF PROPERTY MISD,"1300 MADISON ST
Little Rock, Arkansas
(34.739781, -92.32769)",4/28/16
2016-027242,71,THEFT OF PROPERTY MISD,"316 MAIN ST
Little Rock, Arkansas
(34.745979, -92.270736)",3/12/16
2016-006035,82,THEFT OF PROPERTY MISD,"10422 CHICOT RD
Little Rock, Arkansas
(34.655714, -92.363153)",1/16/16
2016-016206,72,THEFT OF PROPERTY MISD,"17711 CHENAL PKWY
Little Rock, Arkansas
(34.768679, -92.457917)",2/12/16
2016-017351,81,THEFT OF PROPERTY MISD,"8000 GEYER SPRINGS RD
Little Rock, Arkansas
(34.677535, -92.343865)",2/13/16
2016-032138,53,THEFT OF PROPERTY MISD,"3801 W CHARLES BUSSEY AVE
Little Rock, Arkansas
(34.733133, -92.316344)",3/24/16
2016-014956,81,THEFT OF PROPERTY MISD,"5105 W 65TH ST
Little Rock, Arkansas
(34.690303, -92.333112)",2/9/16
2016-019688,82,THEFT OF PROPERTY MISD,"6401 BASELINE RD
Little Rock, Arkansas
(34.6694, -92.351731)",2/22/16
2016-027667,51,THEFT OF PROPERTY MISD,"824 W CAPITOL AVE
Little Rock, Arkansas
(34.745411, -92.280298)",3/12/16
2016-021313,80,THEFT OF PROPERTY MISD,"5200 W 65TH ST
Little Rock, Arkansas
(34.690402, -92.334712)",2/26/16
2016-045121,51,THEFT OF PROPERTY MISD,"1010 WOLFE ST
Little Rock, Arkansas
(34.741072, -92.292779)",4/25/16
2016-016836,91,THEFT OF PROPERTY MISD,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.376701)",2/14/16
2016-026507,81,THEFT OF PROPERTY MISD,"8717 GEYER SPRINGS RD
Little Rock, Arkansas
(34.670656, -92.344277)",3/10/16
2016-035123,60,THEFT OF PROPERTY MISD,"314 S UNIVERSITY AVE
Little Rock, Arkansas
(34.750034, -92.341281)",4/1/16
2016-022721,62,THEFT OF PROPERTY MISD,"11550 W MARKHAM ST
Little Rock, Arkansas
(34.754015, -92.403643)",3/1/16
2016-041672,52,THEFT OF PROPERTY MISD,"500 W 17TH ST
Little Rock, Arkansas
(34.733076, -92.278203)",4/17/16
2016-040563,91,THEFT OF PROPERTY MISD,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.376701)",4/14/16
2016-038055,60,THEFT OF PROPERTY MISD,"6700 H ST
Little Rock, Arkansas
(34.7597, -92.34663)",4/6/16
2016-039757,80,THEFT OF PROPERTY MISD,"5615 GEYER SPRINGS RD
Little Rock, Arkansas
(34.698425, -92.342945)",4/12/16
2016-038464,43,THEFT OF PROPERTY MISD,"4748 SPRINGER BLVD
Little Rock, Arkansas
(34.705433, -92.246436)",4/9/16
2016-016222,62,THEFT OF PROPERTY MISD,"8506 COLONEL GLENN RD
Little Rock, Arkansas
(34.710569, -92.37044)",2/12/16
2016-017482,72,THEFT OF PROPERTY MISD,"14524 CANTRELL RD
Little Rock, Arkansas
(34.80178, -92.435077)",2/16/16
2016-045900,93,THEFT OF PROPERTY MISD,"20 BEAR TRAIL CV
Little Rock, Arkansas
(34.667319, -92.437345)",4/27/16
2016-027713,40,THEFT OF PROPERTY MISD,"415 PRESIDENT CLINTON AVE
Little Rock, Arkansas
(34.747526, -92.266101)",3/13/16
2016-049115,41,THEFT OF PROPERTY MISD,"2415 BROADWAY ST
Little Rock, Arkansas
(34.725271, -92.2788)",5/5/16
2016-024644,60,THEFT OF PROPERTY MISD,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752338, -92.343058)",3/5/16
2016-036946,64,THEFT OF PROPERTY MISD,"2418 MAPLE RIDGE RD
Little Rock, Arkansas
(34.732926, -92.402888)",4/5/16
2016-033172,41,THEFT OF PROPERTY MISD,"2415 BROADWAY ST
Little Rock, Arkansas
(34.725271, -92.2788)",3/27/16
2016-043797,60,THEFT OF PROPERTY MISD,"7300 CANTRELL RD
Little Rock, Arkansas
(34.770297, -92.354206)",4/22/16
2016-029365,51,THEFT OF PROPERTY MISD,"1111 W MARKHAM ST
Little Rock, Arkansas
(34.749787, -92.282826)",3/17/16
2016-020208,71,THEFT OF PROPERTY MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",2/23/16
2016-039449,52,THEFT OF PROPERTY MISD,"1719 S STATE ST
Little Rock, Arkansas
(34.732565, -92.281978)",4/11/16
2016-019336,61,THEFT OF PROPERTY MISD,"68 BERKSHIRE DR
Little Rock, Arkansas
(34.73102, -92.342593)",2/21/16
2016-015465,64,THEFT OF PROPERTY MISD,"2618 S SHACKLEFORD RD
Little Rock, Arkansas
(34.733668, -92.394693)",2/10/16
2016-044908,71,THEFT OF PROPERTY MISD,"900 S BOWMAN RD
Little Rock, Arkansas
(34.7465, -92.407221)",4/25/16
2016-047817,43,THEFT OF PROPERTY MISD,"1100 E ROOSEVELT RD
Little Rock, Arkansas
(34.72372, -92.260825)",3/15/16
2016-030068,80,THEFT OF PROPERTY MISD,"3310 MABELVALE PIKE
Little Rock, Arkansas
(34.718586, -92.333417)",3/19/16
2016-044166,71,THEFT OF PROPERTY MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",4/23/16
2016-033493,64,THEFT OF PROPERTY MISD,"10920 FINANCIAL CENTRE PKWY
Little Rock, Arkansas
(34.747508, -92.397337)",3/26/16
2016-018632,60,THEFT OF PROPERTY MISD,"420 S UNIVERSITY AVE
Little Rock, Arkansas
(34.749245, -92.3413)",2/19/16
2016-029969,70,THEFT OF PROPERTY MISD,"10724 W MARKHAM ST
Little Rock, Arkansas
(34.753932, -92.393482)",3/19/16
2016-016391,64,THEFT OF PROPERTY MISD,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",2/13/16
2016-013949,82,THEFT OF PROPERTY MISD,"9101 AUXOR RD
Little Rock, Arkansas
(34.666569, -92.315418)",2/6/16
2016-031696,64,THEFT OF PROPERTY MISD,"14705 RIDGEWOOD DR
Little Rock, Arkansas
(34.73397, -92.407012)",3/23/16
2016-022834,70,THEFT OF PROPERTY MISD,"10704 YOSEMITE VALLEY DR
Little Rock, Arkansas
(34.772563, -92.39255)",2/28/16
2016-034588,51,THEFT OF PROPERTY MISD,"4300 W MARKHAM ST
Little Rock, Arkansas
(34.751587, -92.321082)",3/31/16
2016-049118,91,THEFT OF PROPERTY MISD,"8302 BASELINE RD
Little Rock, Arkansas
(34.669938, -92.370134)",5/5/16
2016-026706,60,THEFT OF PROPERTY MISD,"2202 BLACKWOOD RD
Little Rock, Arkansas
(34.77267, -92.350869)",3/10/16
2016-044661,63,THEFT OF PROPERTY MISD,"10901 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771421, -92.395699)",4/24/16
2016-017951,64,THEFT OF PROPERTY MISD,"11700 CHENAL PKWY
Little Rock, Arkansas
(34.748588, -92.40459)",2/15/16
2016-031543,41,THEFT OF PROPERTY MISD,"1711 MAIN ST
Little Rock, Arkansas
(34.731319, -92.2736)",3/23/16
2016-041875,61,THEFT OF PROPERTY MISD,"8415 W MARKHAM ST
Little Rock, Arkansas
(34.753158, -92.368194)",4/17/16
2016-017397,70,THEFT OF PROPERTY MISD,"11800 PLEASANT RIDGE RD
Little Rock, Arkansas
(34.794903, -92.407206)",2/16/16
2016-038593,63,THEFT OF PROPERTY MISD,"10901 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771421, -92.395699)",4/9/16
2016-002925,60,THEFT OF PROPERTY MISD,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752338, -92.343058)",1/8/16
2016-020669,81,THEFT OF PROPERTY MISD,"7721 GEYER SPRINGS RD
Little Rock, Arkansas
(34.679983, -92.343773)",2/24/16
2016-024477,71,THEFT OF PROPERTY MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",3/5/16
2016-027600,40,THEFT OF PROPERTY MISD,"311 E 8TH ST
Little Rock, Arkansas
(34.740812, -92.268787)",3/13/16
2016-019683,40,THEFT OF PROPERTY MISD,"400 RIVER MARKET AVE
Little Rock, Arkansas
(34.744512, -92.266103)",2/21/16
2016-043051,80,THEFT OF PROPERTY MISD,"4111 S UNIVERSITY AVE
Little Rock, Arkansas
(34.713777, -92.342823)",3/18/16
2016-017027,50,THEFT OF PROPERTY MISD,"4700 W MARKHAM ST
Little Rock, Arkansas
(34.75174, -92.325378)",2/12/16
2016-039501,71,THEFT OF PROPERTY MISD,"1602 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768691, -92.403718)",4/11/16
2016-045734,70,THEFT OF PROPERTY MISD,"26 PEBBLE BEACH DR
Little Rock, Arkansas
(34.783894, -92.415652)",4/13/16
2016-025680,71,THEFT OF PROPERTY MISD,"12610 CHENAL PKWY
Little Rock, Arkansas
(34.753879, -92.414284)",3/8/16
2016-013903,72,THEFT OF PROPERTY MISD,"6 LACELLE CT
Little Rock, Arkansas
(34.772757, -92.474213)",2/5/16
2016-041350,82,THEFT OF PROPERTY MISD,"5917 BASELINE RD
Little Rock, Arkansas
(34.669104, -92.3433)",4/17/16
2016-011063,64,THEFT OF PROPERTY MISD,"1301 S SHACKLEFORD RD
Little Rock, Arkansas
(34.741318, -92.39442)",1/30/16
