IncidentNumber,District,offenseDesc1,IncidentAddress,IncidentDate
2016-122837,64,BREAKING OR ENTERING VEHICLE,"101 TIMBERLAND DR
Little Rock, Arkansas",10/30/2016-10/31/2016
2016-127601,71,BREAKING OR ENTERING VEHICLE,"420 NAPA VALLEY DR
Little Rock, Arkansas",11/11/2016-11/12/2016
2016-127559,70,BREAKING OR ENTERING VEHICLE,"420 NAPA VALLEY DR
Little Rock, Arkansas",11/11/2016-11/12/2016
2016-129442,70,BREAKING OR ENTERING VEHICLE,"11109 PLEASANT RIDGE CT
Little Rock, Arkansas",11/16/2016-11/17/2016
2016-033399,92,BREAKING OR ENTERING VEHICLE,"10200 RAVENWOOD CIR
Little Rock, Arkansas",3/27/2016-3/28/2016
2016-042991,71,BREAKING OR ENTERING VEHICLE,"420 NAPA VALLEY DR
Little Rock, Arkansas",4/14/2016-4/19/2016
2016-043809,61,BREAKING OR ENTERING VEHICLE,"0
Little Rock, Arkansas",4/22/2016-4/22/2016
2016-052907,81,BREAKING OR ENTERING VEHICLE,"0
Little Rock, Arkansas",5/12/2016-5/14/2016
2016-065324,63,BREAKING OR ENTERING VEHICLE,"99 N RODNEY PARHAM RD
Little Rock, Arkansas",6/13/2016-6/14/2016
2016-067757,72,BREAKING OR ENTERING VEHICLE,"24 WILDWOOD PLACE CIR
Little Rock, Arkansas",6/17/2016-6/19/2016
2016-067862,92,BREAKING OR ENTERING VEHICLE,"28 PENNY LN
Little Rock, Arkansas",6/19/2016-6/20/2016
2016-070737,92,BREAKING OR ENTERING VEHICLE,"5 NICKEL CV
Little Rock, Arkansas",6/27/2016-6/27/2016
2016-072507,91,BREAKING OR ENTERING VEHICLE,"7913 HILLSBORO RD
Little Rock, Arkansas",6/30/2016-7/1/2016
2016-062649,52,BREAKING OR ENTERING VEHICLE,"4500 S ARCH ST
Little Rock, Arkansas",6/6/2016-6/7/2016
2016-063270,91,BREAKING OR ENTERING VEHICLE,"8703 MABELVALE CTF
Little Rock, Arkansas",6/8/2016-6/9/2016
2016-077532,64,BREAKING OR ENTERING VEHICLE,"3405 SHACKLEFORD PASS
Little Rock, Arkansas",7/11/2016-7/12/2016
2016-080232,92,BREAKING OR ENTERING VEHICLE,"13801 ALEXANDER RD
Little Rock, Arkansas",7/17/2016-7/18/2016
2016-084373,62,BREAKING OR ENTERING VEHICLE,"700 BURTON DR
Little Rock, Arkansas",7/27/2016-7/28/2016
2016-090558,92,BREAKING OR ENTERING VEHICLE,"76 PINEDALE CIR
Little Rock, Arkansas",8/11/2016-8/12/2016
2016-101616,91,BREAKING OR ENTERING VEHICLE,"5113 YORKWOOD DR
Little Rock, Arkansas",9/5/2016-9/8/2016
2016-101066,60,BREAKING OR ENTERING VEHICLE,"2124 N MISSISSIPPI ST
Little Rock, Arkansas",9/6/2016-9/7/2016
2016-141468,91,BREAKING OR ENTERING VEHICLE,"10703 LEGION HUT RD
Little Rock, Arkansas",12/18/16
2016-108883,91,BREAKING OR ENTERING VEHICLE,"12001 SARDIS RD
Little Rock, Arkansas",09/19/2016-09/21/2016
2016-058793,91,BURGLARY - RESIDENTIAL,"9800 COCHRANE ST
Little Rock, Arkansas",5/29/2016-5/29/2016
2016-063350,81,BURGLARY - RESIDENTIAL,"12823 SARDIS RD
Little Rock, Arkansas",6/7/16
2016-126979,91,BURGLARY - RESIDENTIAL,"11221 LEGION HUT RD
Little Rock, Arkansas",11/10/16
2016-127250,92,BURGLARY - RESIDENTIAL,"83 ANGEL CT
Little Rock, Arkansas",11/11/16
2016-134815,91,BURGLARY - RESIDENTIAL,"8 KELLI CT
Little Rock, Arkansas",12/1/16
2016-136784,91,BURGLARY - RESIDENTIAL,"8020 BUNCH RD
Little Rock, Arkansas",12/6/16
2016-136715,91,BURGLARY - RESIDENTIAL,"10913 LEGION HUT RD
Little Rock, Arkansas",12/6/16
2016-137566,91,BURGLARY - RESIDENTIAL,"8116 OXFORD VALLEY DR
Little Rock, Arkansas",12/8/16
2016-020688,71,BURGLARY - RESIDENTIAL,"420 NAPA VALLEY DR
Little Rock, Arkansas",2/24/16
2016-022411,92,BURGLARY - RESIDENTIAL,"14800 ALEXANDER RD
Little Rock, Arkansas",2/29/16
2016-023616,91,BURGLARY - RESIDENTIAL,"8620 SHILOH DR
Little Rock, Arkansas",3/3/16
2016-030971,91,BURGLARY - RESIDENTIAL,"10525 LEGION HUT RD
Little Rock, Arkansas",3/21/16
