DATE,TMAX,TMIN
10/22/17,74,53
10/23/17,75,48
10/24/17,64,49
10/25/17,71,40
10/26/17,79,51
10/27/17,62,38
10/28/17,50,34
10/29/17,62,35
10/30/17,71,43
10/31/17,50,43
11/1/17,66,44
11/2/17,82,66
11/3/17,80,61
11/4/17,80,60
11/5/17,78,69
11/6/17,72,54
11/7/17,54,48
11/8/17,51,45
11/9/17,62,40
11/10/17,58,40
11/11/17,61,34
11/12/17,71,53
11/13/17,62,43
11/14/17,60,42
11/15/17,60,53
11/16/17,62,47
11/17/17,71,51
11/18/17,78,44
11/19/17,57,40
11/20/17,59,38
11/21/17,62,40
11/22/17,52,33
11/23/17,60,32
11/24/17,68,41
11/25/17,70,51
11/26/17,66,45
11/27/17,69,45
11/28/17,69,46
11/29/17,70,46
11/30/17,67,49
12/1/17,60,44
12/2/17,68,45
12/3/17,72,55
12/4/17,69,54
12/5/17,60,38
12/6/17,48,37
12/7/17,41,32
12/8/17,41,26
12/9/17,51,25
12/10/17,64,31
12/11/17,73,43
12/12/17,54,38
12/13/17,65,34
12/14/17,52,35
12/15/17,53,31
12/16/17,54,32
12/17/17,45,42
12/18/17,57,42
12/19/17,56,46
12/20/17,57,50
12/21/17,62,48
12/22/17,61,46
12/23/17,46,38
12/24/17,44,30
12/25/17,36,28
12/26/17,40,28
12/27/17,32,19
12/28/17,32,14
12/29/17,43,25
12/30/17,41,28
12/31/17,29,16
1/1/18,23,9
1/2/18,22,12
1/3/18,37,14
1/4/18,38,23
1/5/18,49,22
1/6/18,41,23
1/7/18,47,26
1/8/18,47,40
1/9/18,45,40
1/10/18,58,42
1/11/18,64,30
1/12/18,37,23
1/13/18,35,20
1/14/18,31,23
1/15/18,48,21
1/16/18,21,9
1/17/18,29,7
1/18/18,40,15
1/19/18,44,27
1/20/18,58,41
1/21/18,64,58
1/22/18,64,44
1/23/18,51,36
1/24/18,56,34
1/25/18,62,34
1/26/18,62,38
1/27/18,57,47
1/28/18,59,40
1/29/18,46,29
1/30/18,41,25
1/31/18,65,32
2/1/18,51,33
2/2/18,41,24
2/3/18,46,28
2/4/18,55,26
2/5/18,41,19
2/6/18,40,31
2/7/18,39,28
2/8/18,48,27
2/9/18,62,35
2/10/18,53,37
2/11/18,37,29
2/12/18,44,25
2/13/18,43,29
2/14/18,57,41
2/15/18,72,57
2/16/18,67,43
2/17/18,48,38
2/18/18,50,37
2/19/18,75,49
2/20/18,77,58
2/21/18,59,35
2/22/18,45,36
2/23/18,53,45
2/24/18,70,51
2/25/18,53,39
2/26/18,63,38
2/27/18,64,43
2/28/18,62,51
3/1/18,63,50
3/2/18,59,41
3/3/18,60,39
3/4/18,54,42
3/5/18,72,49
3/6/18,61,39
3/7/18,51,32
3/8/18,58,34
3/9/18,70,41
3/10/18,71,54
3/11/18,63,42
3/12/18,55,37
3/13/18,58,34
3/14/18,61,38
3/15/18,72,44
3/16/18,74,55
3/17/18,77,57
3/18/18,60,46
3/19/18,73,48
3/20/18,56,46
3/21/18,61,40
3/22/18,67,40
3/23/18,71,50
3/24/18,77,63
3/25/18,61,45
3/26/18,80,48
3/27/18,79,60
3/28/18,63,58
3/29/18,65,49
3/30/18,63,44
3/31/18,75,46
4/1/18,63,40
4/2/18,54,37
4/3/18,78,44
4/4/18,55,35
4/5/18,58,37
4/6/18,55,46
4/7/18,46,29
4/8/18,49,31
4/9/18,64,37
4/10/18,61,41
4/11/18,74,43
4/12/18,81,56
4/13/18,71,58
4/14/18,59,41
4/15/18,48,37
4/16/18,65,31
4/17/18,81,49
4/18/18,79,54
4/19/18,60,43
4/20/18,67,39
4/21/18,69,47
4/22/18,63,52
4/23/18,62,52
4/24/18,78,51
4/25/18,69,51
4/26/18,66,51
4/27/18,75,52
4/28/18,82,52
4/29/18,70,50
4/30/18,78,49
5/1/18,82,60
5/2/18,82,64
5/3/18,79,64
5/4/18,73,64
5/5/18,79,60
5/6/18,85,61
5/7/18,87,60
5/8/18,88,61
5/9/18,87,69
5/10/18,86,66
5/11/18,87,65
5/12/18,86,67
5/13/18,89,68
5/14/18,90,71
5/15/18,84,68
5/16/18,85,65
5/17/18,80,63
5/18/18,85,63
5/19/18,91,71
5/20/18,89,68
5/21/18,80,68
5/22/18,81,69
5/23/18,87,66
5/24/18,87,66
5/25/18,84,69
5/26/18,85,67
5/27/18,88,68
5/28/18,91,71
5/29/18,85,69
5/30/18,91,69
5/31/18,89,75
6/1/18,92,72
6/2/18,92,72
6/3/18,84,70
6/4/18,83,65
6/5/18,87,67
6/6/18,90,66
6/7/18,91,69
6/8/18,91,69
6/9/18,89,68
6/10/18,92,71
6/11/18,87,71
6/12/18,92,74
6/13/18,93,73
6/14/18,94,70
6/15/18,93,73
6/16/18,93,75
6/17/18,92,75
6/18/18,90,74
6/19/18,89,70
6/20/18,81,71
6/21/18,92,71
6/22/18,91,72
6/23/18,88,68
6/24/18,90,69
6/25/18,90,68
6/26/18,94,77
6/27/18,96,78
6/28/18,98,78
6/29/18,92,72
6/30/18,96,76
7/1/18,95,70
7/2/18,93,75
7/3/18,92,76
7/4/18,93,75
7/5/18,96,77
7/6/18,97,72
7/7/18,91,71
7/8/18,91,72
7/9/18,91,71
7/10/18,94,73
7/11/18,96,76
7/12/18,96,76
7/13/18,98,76
7/14/18,95,78
7/15/18,99,73
7/16/18,93,74
7/17/18,94,72
7/18/18,81,73
7/19/18,95,75
7/20/18,96,76
7/21/18,93,72
7/22/18,90,72
7/23/18,86,70
7/24/18,91,70
7/25/18,93,73
7/26/18,95,70
7/27/18,86,69
7/28/18,78,70
7/29/18,83,70
7/30/18,77,68
7/31/18,84,65
